2020-09-06 20:19:06,201 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 25.82 | ExpVar: 0.3
2020-09-06 20:19:06,220 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 24.74 | ExpVar: 0.35
2020-09-06 20:19:06,238 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 25.15 | ExpVar: 0.33
2020-09-06 20:19:06,252 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 24.53 | ExpVar: 0.38
2020-09-06 20:19:06,287 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 26.06 | ExpVar: 0.31
2020-09-06 20:19:06,314 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 25.08 | ExpVar: 0.34
2020-09-06 20:19:06,347 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 25.27 | ExpVar: 0.32
2020-09-06 20:19:06,371 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 24.57 | ExpVar: 0.38
2020-09-06 20:19:06,429 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 26.07 | ExpVar: 0.31
2020-09-06 20:19:06,480 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 25.08 | ExpVar: 0.34
2020-09-06 20:19:06,530 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 25.27 | ExpVar: 0.32
