2020-09-06 20:16:17,378 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 3.59 | ExpVar: 0.15
2020-09-06 20:16:17,393 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 3.6 | ExpVar: 0.16
2020-09-06 20:16:17,409 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 3.59 | ExpVar: 0.17
2020-09-06 20:16:17,428 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 3.62 | ExpVar: 0.15
2020-09-06 20:16:17,468 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 3.61 | ExpVar: 0.15
2020-09-06 20:16:17,500 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 3.63 | ExpVar: 0.16
2020-09-06 20:16:17,529 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 3.58 | ExpVar: 0.18
2020-09-06 20:16:17,553 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 3.62 | ExpVar: 0.16
2020-09-06 20:16:17,602 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 3.61 | ExpVar: 0.15
2020-09-06 20:16:17,664 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 3.63 | ExpVar: 0.16
2020-09-06 20:16:17,701 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 3.58 | ExpVar: 0.18
2020-09-06 20:16:17,751 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 3.62 | ExpVar: 0.16
2020-09-06 20:16:17,835 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 3.61 | ExpVar: 0.15
2020-09-06 20:16:17,913 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 3.63 | ExpVar: 0.16
2020-09-06 20:16:18,017 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 3.58 | ExpVar: 0.18
2020-09-06 20:16:18,089 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 3.62 | ExpVar: 0.16
2020-09-06 20:16:18,106 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 3.94 | ExpVar: -0.06
2020-09-06 20:16:18,129 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 3.83 | ExpVar: 0.01
2020-09-06 20:16:18,150 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 3.89 | ExpVar: -0.04
2020-09-06 20:16:18,168 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 3.81 | ExpVar: 0.02
2020-09-06 20:16:18,195 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 3.94 | ExpVar: -0.06
2020-09-06 20:16:18,223 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 3.83 | ExpVar: 0.0
2020-09-06 20:16:18,245 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 3.89 | ExpVar: -0.04
2020-09-06 20:16:18,270 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 3.81 | ExpVar: 0.02
2020-09-06 20:16:18,323 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 3.94 | ExpVar: -0.06
2020-09-06 20:16:18,381 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 3.83 | ExpVar: 0.0
