2020-09-06 20:15:59,629 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 7.78 | ExpVar: 0.51
2020-09-06 20:15:59,639 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 8.01 | ExpVar: 0.48
2020-09-06 20:15:59,656 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 8.0 | ExpVar: 0.49
2020-09-06 20:15:59,669 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 8.1 | ExpVar: 0.48
2020-09-06 20:15:59,722 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 7.75 | ExpVar: 0.51
2020-09-06 20:15:59,750 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 8.05 | ExpVar: 0.48
2020-09-06 20:15:59,786 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 7.95 | ExpVar: 0.5
2020-09-06 20:15:59,818 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 8.09 | ExpVar: 0.48
2020-09-06 20:15:59,881 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 7.75 | ExpVar: 0.51
2020-09-06 20:15:59,925 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 8.06 | ExpVar: 0.48
2020-09-06 20:15:59,968 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 7.95 | ExpVar: 0.5
2020-09-06 20:16:00,033 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 8.09 | ExpVar: 0.48
2020-09-06 20:16:00,141 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 7.75 | ExpVar: 0.51
2020-09-06 20:16:00,272 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 8.06 | ExpVar: 0.48
2020-09-06 20:16:00,354 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 7.95 | ExpVar: 0.5
2020-09-06 20:16:00,450 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 8.09 | ExpVar: 0.48
