2020-09-06 20:14:44,951 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.79 | ExpVar: -0.7
2020-09-06 20:14:44,959 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.78 | ExpVar: -0.64
2020-09-06 20:14:44,971 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.75 | ExpVar: -0.63
2020-09-06 20:14:44,982 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.84 | ExpVar: -0.85
2020-09-06 20:14:45,005 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 1.8 | ExpVar: -0.7
2020-09-06 20:14:45,023 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 1.79 | ExpVar: -0.63
2020-09-06 20:14:45,047 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 1.75 | ExpVar: -0.63
2020-09-06 20:14:45,063 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.83 | ExpVar: -0.83
2020-09-06 20:14:45,111 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 1.8 | ExpVar: -0.7
2020-09-06 20:14:45,148 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 1.79 | ExpVar: -0.63
2020-09-06 20:14:45,189 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 1.75 | ExpVar: -0.63
