2020-09-06 20:15:34,785 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 42.94 | ExpVar: 0.23
2020-09-06 20:15:34,794 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 40.4 | ExpVar: 0.28
2020-09-06 20:15:34,806 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 43.7 | ExpVar: 0.21
2020-09-06 20:15:34,819 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 40.72 | ExpVar: 0.26
2020-09-06 20:15:34,856 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 43.12 | ExpVar: 0.22
2020-09-06 20:15:34,880 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 40.47 | ExpVar: 0.27
2020-09-06 20:15:34,906 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 43.74 | ExpVar: 0.2
2020-09-06 20:15:34,932 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 40.76 | ExpVar: 0.26
2020-09-06 20:15:34,990 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 43.13 | ExpVar: 0.22
2020-09-06 20:15:35,039 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 40.47 | ExpVar: 0.27
2020-09-06 20:15:35,077 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 43.74 | ExpVar: 0.2
2020-09-06 20:15:35,117 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 40.76 | ExpVar: 0.26
2020-09-06 20:15:35,234 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 43.13 | ExpVar: 0.22
2020-09-06 20:15:35,318 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 40.47 | ExpVar: 0.27
2020-09-06 20:15:35,397 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 43.74 | ExpVar: 0.2
2020-09-06 20:15:35,486 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 40.76 | ExpVar: 0.26
2020-09-06 20:15:35,503 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 45.19 | ExpVar: 0.27
2020-09-06 20:15:35,524 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 37.97 | ExpVar: 0.42
2020-09-06 20:15:35,545 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 45.05 | ExpVar: 0.28
2020-09-06 20:15:35,565 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 37.34 | ExpVar: 0.43
2020-09-06 20:15:35,606 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 45.18 | ExpVar: 0.27
2020-09-06 20:15:35,635 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 37.99 | ExpVar: 0.42
2020-09-06 20:15:35,682 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 45.04 | ExpVar: 0.28
2020-09-06 20:15:35,711 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 37.34 | ExpVar: 0.43
2020-09-06 20:15:35,757 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 45.18 | ExpVar: 0.27
2020-09-06 20:15:35,816 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 37.99 | ExpVar: 0.42
2020-09-06 20:15:35,852 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 45.04 | ExpVar: 0.28
2020-09-06 20:15:35,890 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 37.34 | ExpVar: 0.43
2020-09-06 20:15:35,977 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 45.18 | ExpVar: 0.27
2020-09-06 20:15:36,054 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 37.99 | ExpVar: 0.42
2020-09-06 20:15:36,131 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 45.04 | ExpVar: 0.28
2020-09-06 20:15:36,215 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 37.34 | ExpVar: 0.43
2020-09-06 20:15:36,239 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 40.23 | ExpVar: 0.24
2020-09-06 20:15:36,259 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 50.49 | ExpVar: 0.01
2020-09-06 20:15:36,283 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 40.77 | ExpVar: 0.19
2020-09-06 20:15:36,302 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 48.73 | ExpVar: 0.04
2020-09-06 20:15:36,343 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 40.23 | ExpVar: 0.24
2020-09-06 20:15:36,376 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 50.49 | ExpVar: 0.01
2020-09-06 20:15:36,411 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 40.78 | ExpVar: 0.19
2020-09-06 20:15:36,450 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 48.73 | ExpVar: 0.04
2020-09-06 20:15:36,497 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 40.23 | ExpVar: 0.24
2020-09-06 20:15:36,554 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 50.49 | ExpVar: 0.01
2020-09-06 20:15:36,603 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 40.78 | ExpVar: 0.19
2020-09-06 20:15:36,649 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 48.73 | ExpVar: 0.04
2020-09-06 20:15:36,758 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 40.23 | ExpVar: 0.24
2020-09-06 20:15:36,846 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 50.49 | ExpVar: 0.01
2020-09-06 20:15:36,934 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 40.78 | ExpVar: 0.19
2020-09-06 20:15:37,026 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 48.73 | ExpVar: 0.04
2020-09-06 20:15:37,037 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 39.84 | ExpVar: 0.28
2020-09-06 20:15:37,045 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 40.49 | ExpVar: 0.3
2020-09-06 20:15:37,058 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 43.4 | ExpVar: 0.25
2020-09-06 20:15:37,068 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 41.68 | ExpVar: 0.29
2020-09-06 20:15:37,098 Results for XGB 53 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 41.39 | ExpVar: 0.22
2020-09-06 20:15:37,124 Results for XGB 54 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 42.77 | ExpVar: 0.22
