2020-09-06 20:15:08,452 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 8.44 | ExpVar: 0.05
2020-09-06 20:15:08,467 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 8.58 | ExpVar: 0.04
2020-09-06 20:15:08,481 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 8.48 | ExpVar: 0.03
2020-09-06 20:15:08,493 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 8.54 | ExpVar: 0.04
2020-09-06 20:15:08,518 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 8.48 | ExpVar: 0.04
2020-09-06 20:15:08,549 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 8.58 | ExpVar: 0.04
2020-09-06 20:15:08,581 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 8.47 | ExpVar: 0.03
2020-09-06 20:15:08,611 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 8.54 | ExpVar: 0.04
2020-09-06 20:15:09,174 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 8.48 | ExpVar: 0.04
2020-09-06 20:15:10,146 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 8.58 | ExpVar: 0.04
2020-09-06 20:15:10,983 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 8.47 | ExpVar: 0.03
2020-09-06 20:15:11,575 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 8.54 | ExpVar: 0.04
2020-09-06 20:15:12,885 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 8.48 | ExpVar: 0.04
2020-09-06 20:15:13,941 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 8.58 | ExpVar: 0.04
2020-09-06 20:15:14,933 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 8.47 | ExpVar: 0.03
2020-09-06 20:15:15,886 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 8.54 | ExpVar: 0.04
2020-09-06 20:15:16,042 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 7.13 | ExpVar: 0.33
2020-09-06 20:15:16,262 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 7.24 | ExpVar: 0.3
2020-09-06 20:15:16,473 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 7.26 | ExpVar: 0.25
2020-09-06 20:15:16,719 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.88 | ExpVar: 0.33
2020-09-06 20:15:16,790 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 7.14 | ExpVar: 0.33
2020-09-06 20:15:16,827 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 7.24 | ExpVar: 0.29
2020-09-06 20:15:16,860 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 7.26 | ExpVar: 0.25
2020-09-06 20:15:16,888 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.88 | ExpVar: 0.33
2020-09-06 20:15:16,950 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 7.14 | ExpVar: 0.33
2020-09-06 20:15:17,004 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 7.24 | ExpVar: 0.29
2020-09-06 20:15:17,049 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 7.26 | ExpVar: 0.25
2020-09-06 20:15:17,094 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.88 | ExpVar: 0.33
2020-09-06 20:15:17,186 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 7.14 | ExpVar: 0.33
2020-09-06 20:15:17,271 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 7.24 | ExpVar: 0.29
2020-09-06 20:15:17,339 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 7.26 | ExpVar: 0.25
2020-09-06 20:15:17,429 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.88 | ExpVar: 0.33
2020-09-06 20:15:17,459 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 9.55 | ExpVar: 0.33
2020-09-06 20:15:17,483 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 7.32 | ExpVar: 0.49
2020-09-06 20:15:17,508 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 8.15 | ExpVar: 0.38
2020-09-06 20:15:17,530 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.72 | ExpVar: 0.52
2020-09-06 20:15:17,566 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 9.55 | ExpVar: 0.33
2020-09-06 20:15:17,604 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 7.32 | ExpVar: 0.49
2020-09-06 20:15:17,645 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 8.15 | ExpVar: 0.38
2020-09-06 20:15:17,687 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.72 | ExpVar: 0.52
2020-09-06 20:15:17,747 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 9.55 | ExpVar: 0.33
2020-09-06 20:15:17,803 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 7.32 | ExpVar: 0.49
2020-09-06 20:15:17,863 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 8.15 | ExpVar: 0.38
2020-09-06 20:15:17,925 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.72 | ExpVar: 0.52
2020-09-06 20:15:18,036 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 9.55 | ExpVar: 0.33
2020-09-06 20:15:18,140 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 7.32 | ExpVar: 0.49
2020-09-06 20:15:18,234 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 8.15 | ExpVar: 0.38
2020-09-06 20:15:18,325 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.72 | ExpVar: 0.52
2020-09-06 20:15:18,338 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 8.65 | ExpVar: 0.2
2020-09-06 20:15:18,357 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 8.9 | ExpVar: 0.14
2020-09-06 20:15:18,375 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 8.69 | ExpVar: 0.19
2020-09-06 20:15:18,389 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 8.87 | ExpVar: 0.13
2020-09-06 20:15:18,417 Results for XGB 53 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 8.64 | ExpVar: 0.2
2020-09-06 20:15:18,446 Results for XGB 54 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 8.87 | ExpVar: 0.14
2020-09-06 20:15:18,475 Results for XGB 55 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 8.71 | ExpVar: 0.18
