2020-09-06 20:16:31,063 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 2.19 | ExpVar: 0.67
2020-09-06 20:16:31,078 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 2.07 | ExpVar: 0.72
2020-09-06 20:16:31,096 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 2.24 | ExpVar: 0.67
2020-09-06 20:16:31,107 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.15 | ExpVar: 0.7
2020-09-06 20:16:31,132 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 2.18 | ExpVar: 0.67
2020-09-06 20:16:31,167 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 2.07 | ExpVar: 0.72
2020-09-06 20:16:31,192 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 2.23 | ExpVar: 0.67
2020-09-06 20:16:31,225 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.14 | ExpVar: 0.7
2020-09-06 20:16:31,268 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 2.18 | ExpVar: 0.67
2020-09-06 20:16:31,315 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 2.07 | ExpVar: 0.72
2020-09-06 20:16:31,377 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 2.23 | ExpVar: 0.67
2020-09-06 20:16:31,445 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.14 | ExpVar: 0.7
2020-09-06 20:16:31,523 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 2.18 | ExpVar: 0.67
2020-09-06 20:16:31,621 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 2.07 | ExpVar: 0.72
2020-09-06 20:16:31,705 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 2.23 | ExpVar: 0.67
2020-09-06 20:16:31,789 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.14 | ExpVar: 0.7
2020-09-06 20:16:31,804 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 2.06 | ExpVar: 0.76
2020-09-06 20:16:31,821 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.8 | ExpVar: 0.79
2020-09-06 20:16:31,837 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.93 | ExpVar: 0.78
2020-09-06 20:16:31,854 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.68 | ExpVar: 0.81
2020-09-06 20:16:31,905 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 2.06 | ExpVar: 0.76
2020-09-06 20:16:31,937 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 1.8 | ExpVar: 0.79
2020-09-06 20:16:31,961 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 1.93 | ExpVar: 0.78
2020-09-06 20:16:31,996 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.68 | ExpVar: 0.81
2020-09-06 20:16:32,038 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 2.06 | ExpVar: 0.76
2020-09-06 20:16:32,083 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 1.8 | ExpVar: 0.79
2020-09-06 20:16:32,123 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 1.93 | ExpVar: 0.78
2020-09-06 20:16:32,178 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.68 | ExpVar: 0.81
2020-09-06 20:16:32,261 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 2.06 | ExpVar: 0.76
2020-09-06 20:16:32,349 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 1.8 | ExpVar: 0.79
2020-09-06 20:16:32,431 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 1.93 | ExpVar: 0.78
2020-09-06 20:16:32,514 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.68 | ExpVar: 0.81
2020-09-06 20:16:32,538 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.45 | ExpVar: 0.79
2020-09-06 20:16:32,566 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.62 | ExpVar: 0.78
2020-09-06 20:16:32,585 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.49 | ExpVar: 0.79
2020-09-06 20:16:32,605 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.6 | ExpVar: 0.78
2020-09-06 20:16:32,640 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 1.45 | ExpVar: 0.79
2020-09-06 20:16:32,673 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 1.62 | ExpVar: 0.78
2020-09-06 20:16:32,708 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 1.49 | ExpVar: 0.79
2020-09-06 20:16:32,750 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.59 | ExpVar: 0.78
2020-09-06 20:16:32,804 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 1.45 | ExpVar: 0.79
2020-09-06 20:16:32,860 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 1.62 | ExpVar: 0.78
2020-09-06 20:16:32,936 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 1.49 | ExpVar: 0.79
2020-09-06 20:16:32,992 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.59 | ExpVar: 0.78
2020-09-06 20:16:33,081 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 1.45 | ExpVar: 0.79
2020-09-06 20:16:33,173 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 1.62 | ExpVar: 0.78
2020-09-06 20:16:33,265 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 1.49 | ExpVar: 0.79
2020-09-06 20:16:33,350 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.59 | ExpVar: 0.78
2020-09-06 20:16:33,359 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.91 | ExpVar: 0.68
2020-09-06 20:16:33,375 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.63 | ExpVar: 0.76
2020-09-06 20:16:33,392 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.84 | ExpVar: 0.71
2020-09-06 20:16:33,407 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.83 | ExpVar: 0.71
