2020-09-06 20:20:49,129 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 64.06 | ExpVar: 0.44
2020-09-06 20:20:49,142 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 63.94 | ExpVar: 0.42
2020-09-06 20:20:49,156 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 63.65 | ExpVar: 0.44
2020-09-06 20:20:49,173 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 63.83 | ExpVar: 0.42
2020-09-06 20:20:49,212 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 64.07 | ExpVar: 0.44
2020-09-06 20:20:49,254 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 63.79 | ExpVar: 0.42
2020-09-06 20:20:49,302 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 63.63 | ExpVar: 0.44
2020-09-06 20:20:49,341 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 63.73 | ExpVar: 0.42
2020-09-06 20:20:49,410 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 64.07 | ExpVar: 0.44
2020-09-06 20:20:49,502 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 63.79 | ExpVar: 0.42
2020-09-06 20:20:49,558 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 63.63 | ExpVar: 0.44
2020-09-06 20:20:49,614 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 63.73 | ExpVar: 0.42
2020-09-06 20:20:49,719 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 64.07 | ExpVar: 0.44
2020-09-06 20:20:49,838 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 63.79 | ExpVar: 0.42
2020-09-06 20:20:49,972 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 63.63 | ExpVar: 0.44
2020-09-06 20:20:50,086 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 63.73 | ExpVar: 0.42
2020-09-06 20:20:50,107 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 57.44 | ExpVar: 0.48
2020-09-06 20:20:50,125 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 60.59 | ExpVar: 0.44
2020-09-06 20:20:50,147 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 57.6 | ExpVar: 0.49
2020-09-06 20:20:50,170 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 60.51 | ExpVar: 0.43
2020-09-06 20:20:50,218 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 57.43 | ExpVar: 0.48
2020-09-06 20:20:50,270 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 60.58 | ExpVar: 0.44
2020-09-06 20:20:50,302 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 57.6 | ExpVar: 0.49
