2020-09-06 20:17:44,654 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 24.35 | ExpVar: 0.46
2020-09-06 20:17:44,661 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 22.22 | ExpVar: 0.48
2020-09-06 20:17:44,675 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 22.58 | ExpVar: 0.46
2020-09-06 20:17:44,684 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 22.27 | ExpVar: 0.49
2020-09-06 20:17:44,701 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 25.14 | ExpVar: 0.45
2020-09-06 20:17:44,718 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 22.74 | ExpVar: 0.46
2020-09-06 20:17:44,736 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 22.83 | ExpVar: 0.48
2020-09-06 20:17:44,755 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 22.69 | ExpVar: 0.48
2020-09-06 20:17:44,787 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 25.16 | ExpVar: 0.45
2020-09-06 20:17:44,840 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 22.75 | ExpVar: 0.46
2020-09-06 20:17:44,878 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 22.84 | ExpVar: 0.48
2020-09-06 20:17:44,920 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 22.7 | ExpVar: 0.48
2020-09-06 20:17:45,520 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 25.16 | ExpVar: 0.45
2020-09-06 20:17:46,640 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 22.75 | ExpVar: 0.46
2020-09-06 20:17:47,639 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 22.84 | ExpVar: 0.48
2020-09-06 20:17:48,461 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 22.7 | ExpVar: 0.48
2020-09-06 20:17:48,574 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 23.59 | ExpVar: 0.34
2020-09-06 20:17:48,733 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 21.89 | ExpVar: 0.42
2020-09-06 20:17:48,913 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 23.21 | ExpVar: 0.37
2020-09-06 20:17:49,081 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.57 | ExpVar: 0.49
2020-09-06 20:17:49,489 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 23.62 | ExpVar: 0.34
2020-09-06 20:17:49,800 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 21.94 | ExpVar: 0.42
2020-09-06 20:17:50,059 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 23.22 | ExpVar: 0.37
2020-09-06 20:17:50,328 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.62 | ExpVar: 0.49
2020-09-06 20:17:50,800 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 23.62 | ExpVar: 0.34
2020-09-06 20:17:51,249 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 21.94 | ExpVar: 0.42
2020-09-06 20:17:51,690 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 23.22 | ExpVar: 0.37
2020-09-06 20:17:52,069 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.62 | ExpVar: 0.49
2020-09-06 20:17:52,808 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 23.62 | ExpVar: 0.34
2020-09-06 20:17:53,113 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 21.94 | ExpVar: 0.42
2020-09-06 20:17:53,180 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 23.22 | ExpVar: 0.37
2020-09-06 20:17:53,238 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.62 | ExpVar: 0.49
