2020-09-06 20:17:05,367 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 25.98 | ExpVar: 0.35
2020-09-06 20:17:05,384 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 26.68 | ExpVar: 0.3
2020-09-06 20:17:05,396 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 26.18 | ExpVar: 0.34
2020-09-06 20:17:05,411 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 26.64 | ExpVar: 0.28
2020-09-06 20:17:05,448 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 26.01 | ExpVar: 0.35
2020-09-06 20:17:05,504 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 26.83 | ExpVar: 0.3
2020-09-06 20:17:05,539 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 26.28 | ExpVar: 0.33
2020-09-06 20:17:05,571 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 26.78 | ExpVar: 0.27
2020-09-06 20:17:05,622 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 26.01 | ExpVar: 0.35
2020-09-06 20:17:05,677 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 26.83 | ExpVar: 0.3
2020-09-06 20:17:05,730 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 26.28 | ExpVar: 0.33
2020-09-06 20:17:05,774 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 26.78 | ExpVar: 0.27
2020-09-06 20:17:05,851 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 26.01 | ExpVar: 0.35
2020-09-06 20:17:05,948 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 26.83 | ExpVar: 0.3
