2020-09-06 20:15:55,686 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 24.78 | ExpVar: -0.07
2020-09-06 20:15:55,697 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 24.63 | ExpVar: -0.09
2020-09-06 20:15:55,705 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 24.57 | ExpVar: -0.09
2020-09-06 20:15:55,717 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 24.49 | ExpVar: -0.13
2020-09-06 20:15:55,735 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 25.08 | ExpVar: -0.18
2020-09-06 20:15:55,759 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 25.28 | ExpVar: -0.25
2020-09-06 20:15:55,776 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 24.67 | ExpVar: -0.24
2020-09-06 20:15:55,796 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 25.3 | ExpVar: -0.29
2020-09-06 20:15:55,837 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 25.07 | ExpVar: -0.19
2020-09-06 20:15:55,870 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 25.33 | ExpVar: -0.26
2020-09-06 20:15:55,903 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 24.72 | ExpVar: -0.25
2020-09-06 20:15:55,934 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 25.32 | ExpVar: -0.3
2020-09-06 20:15:55,987 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 25.07 | ExpVar: -0.19
2020-09-06 20:15:56,056 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 25.33 | ExpVar: -0.26
2020-09-06 20:15:56,144 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 24.72 | ExpVar: -0.25
2020-09-06 20:15:56,204 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 25.32 | ExpVar: -0.3
2020-09-06 20:15:56,214 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 23.53 | ExpVar: -0.04
2020-09-06 20:15:56,224 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 24.45 | ExpVar: -0.12
2020-09-06 20:15:56,237 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 23.28 | ExpVar: 0.03
2020-09-06 20:15:56,251 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 24.47 | ExpVar: -0.1
2020-09-06 20:15:56,280 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 23.65 | ExpVar: -0.05
2020-09-06 20:15:56,303 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 24.47 | ExpVar: -0.14
2020-09-06 20:15:56,319 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 23.38 | ExpVar: 0.02
2020-09-06 20:15:56,337 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 24.44 | ExpVar: -0.11
2020-09-06 20:15:56,372 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 23.64 | ExpVar: -0.05
2020-09-06 20:15:56,401 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 24.47 | ExpVar: -0.14
2020-09-06 20:15:56,433 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 23.38 | ExpVar: 0.02
2020-09-06 20:15:56,468 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 24.44 | ExpVar: -0.11
2020-09-06 20:15:56,530 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 23.64 | ExpVar: -0.05
2020-09-06 20:15:56,602 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 24.47 | ExpVar: -0.14
2020-09-06 20:15:56,660 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 23.38 | ExpVar: 0.02
2020-09-06 20:15:56,708 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 24.44 | ExpVar: -0.11
2020-09-06 20:15:56,725 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 22.59 | ExpVar: 0.08
2020-09-06 20:15:56,740 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 22.96 | ExpVar: 0.06
