2020-09-06 20:14:26,371 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.74 | ExpVar: 0.71
2020-09-06 20:14:26,386 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.64 | ExpVar: 0.72
2020-09-06 20:14:26,401 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.76 | ExpVar: 0.7
2020-09-06 20:14:26,410 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.69 | ExpVar: 0.69
2020-09-06 20:14:26,435 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 1.74 | ExpVar: 0.71
2020-09-06 20:14:26,459 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 1.64 | ExpVar: 0.72
2020-09-06 20:14:26,480 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 1.77 | ExpVar: 0.7
2020-09-06 20:14:26,505 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.7 | ExpVar: 0.69
2020-09-06 20:14:26,560 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 1.74 | ExpVar: 0.71
2020-09-06 20:14:26,595 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 1.64 | ExpVar: 0.72
2020-09-06 20:14:26,627 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 1.77 | ExpVar: 0.7
2020-09-06 20:14:26,668 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.7 | ExpVar: 0.69
2020-09-06 20:14:26,749 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 1.74 | ExpVar: 0.71
2020-09-06 20:14:26,863 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 1.64 | ExpVar: 0.72
2020-09-06 20:14:26,940 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 1.77 | ExpVar: 0.7
2020-09-06 20:14:27,031 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.7 | ExpVar: 0.69
2020-09-06 20:14:27,042 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.57 | ExpVar: 0.7
2020-09-06 20:14:27,056 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.56 | ExpVar: 0.7
2020-09-06 20:14:27,070 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.61 | ExpVar: 0.7
2020-09-06 20:14:27,088 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.64 | ExpVar: 0.7
2020-09-06 20:14:27,117 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 1.57 | ExpVar: 0.7
2020-09-06 20:14:27,145 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 1.56 | ExpVar: 0.7
2020-09-06 20:14:27,173 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 1.61 | ExpVar: 0.7
2020-09-06 20:14:27,199 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.64 | ExpVar: 0.7
2020-09-06 20:14:27,267 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 1.57 | ExpVar: 0.7
2020-09-06 20:14:27,314 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 1.56 | ExpVar: 0.7
2020-09-06 20:14:27,367 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 1.61 | ExpVar: 0.7
2020-09-06 20:14:27,402 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.64 | ExpVar: 0.7
2020-09-06 20:14:27,480 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 1.57 | ExpVar: 0.7
2020-09-06 20:14:27,557 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 1.56 | ExpVar: 0.7
2020-09-06 20:14:27,646 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 1.61 | ExpVar: 0.7
2020-09-06 20:14:27,710 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.64 | ExpVar: 0.7
2020-09-06 20:14:27,731 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:27,753 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:27,778 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:27,795 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.48 | ExpVar: 0.7
2020-09-06 20:14:27,830 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:27,866 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:27,898 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:27,923 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.48 | ExpVar: 0.7
2020-09-06 20:14:27,970 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:28,019 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:28,060 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:28,107 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.48 | ExpVar: 0.7
2020-09-06 20:14:28,185 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:28,278 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:28,349 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 1.46 | ExpVar: 0.7
2020-09-06 20:14:28,434 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.48 | ExpVar: 0.7
2020-09-06 20:14:28,443 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 9.99 | ExpVar: -15.74
2020-09-06 20:14:28,457 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 6.99 | ExpVar: -6.21
2020-09-06 20:14:28,468 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 9.99 | ExpVar: -15.74
2020-09-06 20:14:28,482 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 7.63 | ExpVar: -7.88
2020-09-06 20:14:28,506 Results for XGB 53 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 7657.99 | ExpVar: -14093141.8
2020-09-06 20:14:28,530 Results for XGB 54 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 4256.23 | ExpVar: -4351677.82
2020-09-06 20:14:28,556 Results for XGB 55 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 8130.9 | ExpVar: -15887967.83
2020-09-06 20:14:28,584 Results for XGB 56 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 4526.41 | ExpVar: -4921953.06
2020-09-06 20:14:28,628 Results for XGB 57 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:28,669 Results for XGB 58 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:28,713 Results for XGB 59 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:28,761 Results for XGB 60 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:28,825 Results for XGB 61 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:28,903 Results for XGB 62 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:28,970 Results for XGB 63 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:29,054 Results for XGB 64 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:29,069 Results for XGB 65 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 7.3 | ExpVar: -7.03
2020-09-06 20:14:29,084 Results for XGB 66 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 6.41 | ExpVar: -4.9
2020-09-06 20:14:29,098 Results for XGB 67 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 9.69 | ExpVar: -14.63
2020-09-06 20:14:29,113 Results for XGB 68 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 7.38 | ExpVar: -7.22
2020-09-06 20:14:29,139 Results for XGB 69 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 672.15 | ExpVar: -108012.26
2020-09-06 20:14:29,171 Results for XGB 70 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 896.23 | ExpVar: -192305.82
2020-09-06 20:14:29,207 Results for XGB 71 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 7447.83 | ExpVar: -13330017.32
2020-09-06 20:14:29,241 Results for XGB 72 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 3717.77 | ExpVar: -3319824.29
2020-09-06 20:14:29,302 Results for XGB 73 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:29,351 Results for XGB 74 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:29,401 Results for XGB 75 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:29,464 Results for XGB 76 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.11 | ExpVar: 0.0
2020-09-06 20:14:29,557 Results for XGB 77 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 2.11 | ExpVar: 0.0
