2020-09-06 20:19:41,479 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 68.52 | ExpVar: 0.05
2020-09-06 20:19:41,490 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 65.14 | ExpVar: 0.13
2020-09-06 20:19:41,504 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 68.85 | ExpVar: 0.04
2020-09-06 20:19:41,514 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 65.58 | ExpVar: 0.12
2020-09-06 20:19:41,537 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 68.72 | ExpVar: 0.06
2020-09-06 20:19:41,564 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 65.49 | ExpVar: 0.13
2020-09-06 20:19:41,590 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 68.66 | ExpVar: 0.05
2020-09-06 20:19:41,615 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 65.48 | ExpVar: 0.13
2020-09-06 20:19:41,670 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 68.74 | ExpVar: 0.06
2020-09-06 20:19:41,723 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 65.51 | ExpVar: 0.13
2020-09-06 20:19:41,762 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 68.66 | ExpVar: 0.05
2020-09-06 20:19:41,806 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 65.5 | ExpVar: 0.13
2020-09-06 20:19:41,919 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 68.74 | ExpVar: 0.06
2020-09-06 20:19:42,003 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 65.51 | ExpVar: 0.13
2020-09-06 20:19:42,080 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 68.66 | ExpVar: 0.05
2020-09-06 20:19:42,155 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 65.5 | ExpVar: 0.13
