2020-09-06 20:18:48,765 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 21.69 | ExpVar: 0.19
2020-09-06 20:18:48,777 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 22.75 | ExpVar: 0.16
2020-09-06 20:18:48,787 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 22.1 | ExpVar: 0.16
2020-09-06 20:18:48,798 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 22.26 | ExpVar: 0.17
2020-09-06 20:18:48,820 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 22.06 | ExpVar: 0.18
2020-09-06 20:18:48,840 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 23.14 | ExpVar: 0.13
2020-09-06 20:18:48,862 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 22.21 | ExpVar: 0.16
2020-09-06 20:18:48,888 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 22.7 | ExpVar: 0.15
2020-09-06 20:18:48,920 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 22.09 | ExpVar: 0.17
2020-09-06 20:18:48,963 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 23.14 | ExpVar: 0.13
2020-09-06 20:18:49,007 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 22.22 | ExpVar: 0.15
2020-09-06 20:18:49,052 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 22.71 | ExpVar: 0.15
2020-09-06 20:18:49,125 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 22.09 | ExpVar: 0.17
2020-09-06 20:18:49,221 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 23.14 | ExpVar: 0.13
2020-09-06 20:18:49,282 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 22.22 | ExpVar: 0.15
2020-09-06 20:18:49,354 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 22.71 | ExpVar: 0.15
2020-09-06 20:18:49,365 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 22.4 | ExpVar: 0.29
2020-09-06 20:18:49,377 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 24.63 | ExpVar: 0.16
2020-09-06 20:18:49,391 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 22.47 | ExpVar: 0.29
2020-09-06 20:18:49,406 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 24.7 | ExpVar: 0.14
2020-09-06 20:18:49,437 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 22.41 | ExpVar: 0.29
