2020-09-06 20:13:54,139 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 17.11 | ExpVar: -0.42
2020-09-06 20:13:54,153 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 17.38 | ExpVar: -0.41
2020-09-06 20:13:54,166 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 16.93 | ExpVar: -0.35
2020-09-06 20:13:54,174 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.47 | ExpVar: -0.6
2020-09-06 20:13:54,195 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 17.16 | ExpVar: -0.42
2020-09-06 20:13:54,219 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 17.5 | ExpVar: -0.42
2020-09-06 20:13:54,242 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 17.06 | ExpVar: -0.36
2020-09-06 20:13:54,263 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.66 | ExpVar: -0.62
2020-09-06 20:13:54,316 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 17.16 | ExpVar: -0.42
2020-09-06 20:13:54,364 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 17.5 | ExpVar: -0.42
2020-09-06 20:13:54,400 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 17.06 | ExpVar: -0.36
2020-09-06 20:13:54,438 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.66 | ExpVar: -0.62
2020-09-06 20:13:54,538 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 17.16 | ExpVar: -0.42
2020-09-06 20:13:54,606 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 17.5 | ExpVar: -0.42
2020-09-06 20:13:54,669 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 17.06 | ExpVar: -0.36
2020-09-06 20:13:54,740 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.66 | ExpVar: -0.62
2020-09-06 20:13:54,758 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 17.08 | ExpVar: -0.43
2020-09-06 20:13:54,774 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 18.47 | ExpVar: -0.69
2020-09-06 20:13:54,790 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 17.31 | ExpVar: -0.55
2020-09-06 20:13:54,803 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.04 | ExpVar: -0.66
2020-09-06 20:13:54,826 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 17.08 | ExpVar: -0.43
2020-09-06 20:13:54,861 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 18.48 | ExpVar: -0.69
