2020-09-06 20:18:02,737 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 6.72 | ExpVar: 0.45
2020-09-06 20:18:02,970 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 6.67 | ExpVar: 0.45
2020-09-06 20:18:03,218 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 6.57 | ExpVar: 0.45
2020-09-06 20:18:03,706 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.51 | ExpVar: 0.46
2020-09-06 20:18:04,069 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 6.98 | ExpVar: 0.41
2020-09-06 20:18:04,593 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 6.94 | ExpVar: 0.41
2020-09-06 20:18:05,030 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 6.74 | ExpVar: 0.42
2020-09-06 20:18:05,399 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.72 | ExpVar: 0.42
2020-09-06 20:18:06,031 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 6.98 | ExpVar: 0.41
2020-09-06 20:18:06,607 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 6.94 | ExpVar: 0.41
2020-09-06 20:18:07,256 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 6.74 | ExpVar: 0.42
2020-09-06 20:18:07,755 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.72 | ExpVar: 0.42
2020-09-06 20:18:08,698 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 6.98 | ExpVar: 0.41
2020-09-06 20:18:09,620 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 6.94 | ExpVar: 0.41
2020-09-06 20:18:10,337 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 6.74 | ExpVar: 0.42
2020-09-06 20:18:10,415 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.72 | ExpVar: 0.42
2020-09-06 20:18:10,433 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 4.88 | ExpVar: 0.66
2020-09-06 20:18:10,450 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 6.0 | ExpVar: 0.49
2020-09-06 20:18:10,466 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 5.32 | ExpVar: 0.61
2020-09-06 20:18:10,481 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.93 | ExpVar: 0.45
2020-09-06 20:18:10,509 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 4.88 | ExpVar: 0.66
2020-09-06 20:18:10,534 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 6.02 | ExpVar: 0.49
2020-09-06 20:18:10,567 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 5.32 | ExpVar: 0.61
2020-09-06 20:18:10,595 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.94 | ExpVar: 0.45
2020-09-06 20:18:10,647 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 4.88 | ExpVar: 0.66
2020-09-06 20:18:10,697 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 6.02 | ExpVar: 0.49
2020-09-06 20:18:10,739 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 5.32 | ExpVar: 0.61
2020-09-06 20:18:10,780 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.94 | ExpVar: 0.45
2020-09-06 20:18:10,871 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 4.88 | ExpVar: 0.66
2020-09-06 20:18:10,957 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 6.02 | ExpVar: 0.49
2020-09-06 20:18:11,039 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 5.32 | ExpVar: 0.61
2020-09-06 20:18:11,109 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.94 | ExpVar: 0.45
2020-09-06 20:18:11,130 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 6.7 | ExpVar: 0.38
2020-09-06 20:18:11,155 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 5.12 | ExpVar: 0.62
2020-09-06 20:18:11,179 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 5.83 | ExpVar: 0.53
2020-09-06 20:18:11,205 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.31 | ExpVar: 0.61
2020-09-06 20:18:11,232 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 6.7 | ExpVar: 0.38
2020-09-06 20:18:11,272 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 5.12 | ExpVar: 0.62
2020-09-06 20:18:11,303 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 5.83 | ExpVar: 0.53
2020-09-06 20:18:11,331 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.31 | ExpVar: 0.61
2020-09-06 20:18:11,389 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 6.7 | ExpVar: 0.38
2020-09-06 20:18:11,440 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 5.12 | ExpVar: 0.62
2020-09-06 20:18:11,490 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 5.83 | ExpVar: 0.53
2020-09-06 20:18:11,536 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.31 | ExpVar: 0.61
2020-09-06 20:18:11,626 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 6.7 | ExpVar: 0.38
2020-09-06 20:18:11,706 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 5.12 | ExpVar: 0.62
2020-09-06 20:18:11,777 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 5.83 | ExpVar: 0.53
2020-09-06 20:18:11,867 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.31 | ExpVar: 0.61
2020-09-06 20:18:11,877 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 7.82 | ExpVar: -0.36
2020-09-06 20:18:11,886 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 7.78 | ExpVar: -0.36
2020-09-06 20:18:11,898 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 7.68 | ExpVar: -0.34
2020-09-06 20:18:11,909 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 7.66 | ExpVar: -0.32
2020-09-06 20:18:11,936 Results for XGB 53 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 7.9 | ExpVar: -0.39
2020-09-06 20:18:11,966 Results for XGB 54 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 7.89 | ExpVar: -0.4
2020-09-06 20:18:11,991 Results for XGB 55 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 7.79 | ExpVar: -0.37
2020-09-06 20:18:12,018 Results for XGB 56 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 7.8 | ExpVar: -0.36
2020-09-06 20:18:12,073 Results for XGB 57 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 7.9 | ExpVar: -0.39
2020-09-06 20:18:12,125 Results for XGB 58 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 7.9 | ExpVar: -0.4
2020-09-06 20:18:12,179 Results for XGB 59 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 7.8 | ExpVar: -0.37
2020-09-06 20:18:12,234 Results for XGB 60 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 7.83 | ExpVar: -0.37
2020-09-06 20:18:12,328 Results for XGB 61 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 7.91 | ExpVar: -0.39
