2020-09-06 20:13:42,999 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 26.94 | ExpVar: 0.21
2020-09-06 20:13:43,134 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 27.59 | ExpVar: 0.18
2020-09-06 20:13:43,268 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 27.18 | ExpVar: 0.19
2020-09-06 20:13:43,417 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 27.71 | ExpVar: 0.16
2020-09-06 20:13:43,733 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 26.86 | ExpVar: 0.21
2020-09-06 20:13:44,095 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 27.92 | ExpVar: 0.16
2020-09-06 20:13:44,695 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 26.93 | ExpVar: 0.18
2020-09-06 20:13:44,936 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 27.8 | ExpVar: 0.14
2020-09-06 20:13:45,515 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 26.77 | ExpVar: 0.21
2020-09-06 20:13:46,192 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 27.78 | ExpVar: 0.16
2020-09-06 20:13:46,663 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 26.86 | ExpVar: 0.19
2020-09-06 20:13:47,139 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 27.63 | ExpVar: 0.15
2020-09-06 20:13:48,120 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 26.76 | ExpVar: 0.22
2020-09-06 20:13:49,154 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 27.78 | ExpVar: 0.16
2020-09-06 20:13:49,949 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 26.86 | ExpVar: 0.19
2020-09-06 20:13:50,499 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 27.63 | ExpVar: 0.15
2020-09-06 20:13:50,507 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 25.5 | ExpVar: 0.26
2020-09-06 20:13:50,520 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 22.76 | ExpVar: 0.36
2020-09-06 20:13:50,533 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 23.88 | ExpVar: 0.28
2020-09-06 20:13:50,542 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 23.24 | ExpVar: 0.34
2020-09-06 20:13:50,562 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 25.47 | ExpVar: 0.26
2020-09-06 20:13:50,591 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 22.68 | ExpVar: 0.37
2020-09-06 20:13:50,613 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 23.84 | ExpVar: 0.28
2020-09-06 20:13:50,642 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 23.18 | ExpVar: 0.34
2020-09-06 20:13:50,681 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 25.47 | ExpVar: 0.26
2020-09-06 20:13:50,723 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 22.67 | ExpVar: 0.37
2020-09-06 20:13:50,750 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 23.84 | ExpVar: 0.28
2020-09-06 20:13:50,788 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 23.18 | ExpVar: 0.34
2020-09-06 20:13:50,848 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 25.47 | ExpVar: 0.26
2020-09-06 20:13:50,916 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 22.67 | ExpVar: 0.37
2020-09-06 20:13:51,001 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 23.84 | ExpVar: 0.28
2020-09-06 20:13:51,064 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 23.18 | ExpVar: 0.34
2020-09-06 20:13:51,079 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 28.98 | ExpVar: 0.18
2020-09-06 20:13:51,095 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 27.64 | ExpVar: 0.25
2020-09-06 20:13:51,111 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 28.32 | ExpVar: 0.2
2020-09-06 20:13:51,125 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 27.72 | ExpVar: 0.24
2020-09-06 20:13:51,145 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 28.98 | ExpVar: 0.18
2020-09-06 20:13:51,166 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 27.64 | ExpVar: 0.25
2020-09-06 20:13:51,183 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 28.32 | ExpVar: 0.2
2020-09-06 20:13:51,209 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 27.72 | ExpVar: 0.24
2020-09-06 20:13:51,251 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 28.98 | ExpVar: 0.18
2020-09-06 20:13:51,283 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 27.64 | ExpVar: 0.25
2020-09-06 20:13:51,326 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 28.32 | ExpVar: 0.2
2020-09-06 20:13:51,356 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 27.72 | ExpVar: 0.24
2020-09-06 20:13:51,409 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 28.98 | ExpVar: 0.18
2020-09-06 20:13:51,469 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 27.64 | ExpVar: 0.25
