2020-09-06 20:17:56,449 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 12.32 | ExpVar: 0.28
2020-09-06 20:17:56,464 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 12.4 | ExpVar: 0.26
2020-09-06 20:17:56,480 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 11.91 | ExpVar: 0.31
2020-09-06 20:17:56,491 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 12.26 | ExpVar: 0.3
2020-09-06 20:17:56,515 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 12.33 | ExpVar: 0.28
2020-09-06 20:17:56,545 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 12.44 | ExpVar: 0.26
2020-09-06 20:17:56,569 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 11.96 | ExpVar: 0.31
2020-09-06 20:17:56,599 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 12.31 | ExpVar: 0.3
2020-09-06 20:17:56,691 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 12.33 | ExpVar: 0.28
2020-09-06 20:17:56,784 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 12.44 | ExpVar: 0.26
2020-09-06 20:17:56,871 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 11.96 | ExpVar: 0.31
2020-09-06 20:17:56,944 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 12.31 | ExpVar: 0.3
2020-09-06 20:17:57,035 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 12.33 | ExpVar: 0.28
2020-09-06 20:17:57,116 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 12.44 | ExpVar: 0.26
2020-09-06 20:17:57,186 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 11.96 | ExpVar: 0.31
2020-09-06 20:17:57,271 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 12.31 | ExpVar: 0.3
2020-09-06 20:17:57,286 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 11.07 | ExpVar: 0.23
2020-09-06 20:17:57,299 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 11.08 | ExpVar: 0.26
2020-09-06 20:17:57,320 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 10.78 | ExpVar: 0.26
2020-09-06 20:17:57,339 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 10.83 | ExpVar: 0.28
2020-09-06 20:17:57,397 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 11.07 | ExpVar: 0.23
2020-09-06 20:17:57,435 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 11.09 | ExpVar: 0.26
2020-09-06 20:17:57,489 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 10.77 | ExpVar: 0.26
2020-09-06 20:17:57,515 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 10.83 | ExpVar: 0.28
2020-09-06 20:17:57,579 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 11.07 | ExpVar: 0.23
2020-09-06 20:17:57,627 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 11.09 | ExpVar: 0.26
2020-09-06 20:17:57,675 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 10.77 | ExpVar: 0.26
2020-09-06 20:17:57,719 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 10.83 | ExpVar: 0.28
