2020-09-06 20:18:15,690 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 2.72 | ExpVar: -0.15
2020-09-06 20:18:15,703 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 2.65 | ExpVar: -0.21
2020-09-06 20:18:15,720 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 2.76 | ExpVar: -0.12
2020-09-06 20:18:15,731 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.5 | ExpVar: -0.13
2020-09-06 20:18:15,773 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 2.81 | ExpVar: -0.22
2020-09-06 20:18:15,806 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 2.69 | ExpVar: -0.22
2020-09-06 20:18:15,829 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 2.79 | ExpVar: -0.13
2020-09-06 20:18:15,857 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.54 | ExpVar: -0.14
2020-09-06 20:18:15,916 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 2.81 | ExpVar: -0.22
2020-09-06 20:18:15,968 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 2.69 | ExpVar: -0.22
2020-09-06 20:18:16,036 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 2.79 | ExpVar: -0.13
2020-09-06 20:18:16,104 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.54 | ExpVar: -0.14
2020-09-06 20:18:16,190 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 2.81 | ExpVar: -0.22
2020-09-06 20:18:16,274 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 2.69 | ExpVar: -0.22
2020-09-06 20:18:16,355 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 2.79 | ExpVar: -0.13
2020-09-06 20:18:16,440 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.54 | ExpVar: -0.14
2020-09-06 20:18:16,458 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 2.31 | ExpVar: 0.24
2020-09-06 20:18:16,480 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 2.29 | ExpVar: 0.2
2020-09-06 20:18:16,495 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 2.27 | ExpVar: 0.24
2020-09-06 20:18:16,543 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.32 | ExpVar: 0.19
2020-09-06 20:18:16,570 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 2.31 | ExpVar: 0.24
2020-09-06 20:18:16,605 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 2.29 | ExpVar: 0.2
2020-09-06 20:18:16,636 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 2.26 | ExpVar: 0.23
2020-09-06 20:18:16,669 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.32 | ExpVar: 0.19
2020-09-06 20:18:16,714 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 2.31 | ExpVar: 0.24
2020-09-06 20:18:16,769 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 2.29 | ExpVar: 0.2
2020-09-06 20:18:16,820 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 2.26 | ExpVar: 0.23
2020-09-06 20:18:16,869 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.32 | ExpVar: 0.19
2020-09-06 20:18:16,947 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 2.31 | ExpVar: 0.24
2020-09-06 20:18:17,040 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 2.29 | ExpVar: 0.2
