2020-09-06 20:14:31,815 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.38 | ExpVar: 0.26
2020-09-06 20:14:31,830 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.35 | ExpVar: 0.31
2020-09-06 20:14:31,844 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.39 | ExpVar: 0.28
2020-09-06 20:14:31,853 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.38 | ExpVar: 0.29
2020-09-06 20:14:31,884 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 1.39 | ExpVar: 0.25
2020-09-06 20:14:31,915 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 1.35 | ExpVar: 0.31
2020-09-06 20:14:31,940 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 1.4 | ExpVar: 0.28
2020-09-06 20:14:31,976 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.39 | ExpVar: 0.29
2020-09-06 20:14:32,022 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 1.39 | ExpVar: 0.25
2020-09-06 20:14:32,077 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 1.35 | ExpVar: 0.31
2020-09-06 20:14:32,123 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 1.4 | ExpVar: 0.28
2020-09-06 20:14:32,164 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.39 | ExpVar: 0.29
2020-09-06 20:14:32,253 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 1.39 | ExpVar: 0.25
2020-09-06 20:14:32,352 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 1.35 | ExpVar: 0.31
2020-09-06 20:14:32,447 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 1.4 | ExpVar: 0.28
2020-09-06 20:14:32,514 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.39 | ExpVar: 0.29
2020-09-06 20:14:32,529 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.66 | ExpVar: -0.06
2020-09-06 20:14:32,541 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.59 | ExpVar: 0.08
2020-09-06 20:14:32,563 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.58 | ExpVar: 0.01
2020-09-06 20:14:32,585 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.6 | ExpVar: 0.02
2020-09-06 20:14:32,623 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 1.66 | ExpVar: -0.06
2020-09-06 20:14:32,650 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 1.59 | ExpVar: 0.08
2020-09-06 20:14:32,672 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 1.58 | ExpVar: 0.01
2020-09-06 20:14:32,695 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.6 | ExpVar: 0.02
2020-09-06 20:14:32,763 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 1.66 | ExpVar: -0.06
2020-09-06 20:14:32,815 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 1.59 | ExpVar: 0.08
2020-09-06 20:14:32,854 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 1.58 | ExpVar: 0.01
2020-09-06 20:14:32,891 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.6 | ExpVar: 0.02
2020-09-06 20:14:32,967 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 1.66 | ExpVar: -0.06
2020-09-06 20:14:33,054 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 1.59 | ExpVar: 0.08
2020-09-06 20:14:33,140 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 1.58 | ExpVar: 0.01
2020-09-06 20:14:33,225 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.6 | ExpVar: 0.02
2020-09-06 20:14:33,246 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.76 | ExpVar: -0.66
2020-09-06 20:14:33,273 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.86 | ExpVar: -0.55
2020-09-06 20:14:33,297 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.86 | ExpVar: -0.54
2020-09-06 20:14:33,322 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.77 | ExpVar: -0.42
2020-09-06 20:14:33,352 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 1.76 | ExpVar: -0.66
2020-09-06 20:14:33,380 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 1.86 | ExpVar: -0.55
2020-09-06 20:14:33,419 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 1.86 | ExpVar: -0.54
2020-09-06 20:14:33,459 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.77 | ExpVar: -0.42
2020-09-06 20:14:33,507 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 1.76 | ExpVar: -0.66
2020-09-06 20:14:33,565 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 1.86 | ExpVar: -0.55
2020-09-06 20:14:33,616 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 1.86 | ExpVar: -0.54
2020-09-06 20:14:33,660 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.77 | ExpVar: -0.42
2020-09-06 20:14:33,729 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 1.76 | ExpVar: -0.66
2020-09-06 20:14:33,829 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 1.86 | ExpVar: -0.55
2020-09-06 20:14:33,916 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 1.86 | ExpVar: -0.54
2020-09-06 20:14:33,996 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.77 | ExpVar: -0.42
2020-09-06 20:14:34,007 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.44 | ExpVar: 0.01
2020-09-06 20:14:34,016 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.44 | ExpVar: 0.01
