2020-09-06 20:19:17,859 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 62.91 | ExpVar: 0.04
2020-09-06 20:19:18,011 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 50.71 | ExpVar: 0.31
2020-09-06 20:19:18,229 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 60.48 | ExpVar: 0.1
2020-09-06 20:19:18,394 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 49.68 | ExpVar: 0.33
2020-09-06 20:19:19,004 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 62.12 | ExpVar: 0.06
2020-09-06 20:19:19,359 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 49.58 | ExpVar: 0.34
2020-09-06 20:19:19,389 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 59.65 | ExpVar: 0.12
2020-09-06 20:19:19,423 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 48.83 | ExpVar: 0.36
2020-09-06 20:19:19,472 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 62.12 | ExpVar: 0.06
2020-09-06 20:19:19,520 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 49.58 | ExpVar: 0.34
2020-09-06 20:19:19,572 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 59.63 | ExpVar: 0.12
2020-09-06 20:19:19,625 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 48.83 | ExpVar: 0.36
2020-09-06 20:19:19,710 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 62.12 | ExpVar: 0.06
2020-09-06 20:19:19,804 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 49.58 | ExpVar: 0.34
2020-09-06 20:19:19,893 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 59.63 | ExpVar: 0.12
2020-09-06 20:19:19,988 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 48.83 | ExpVar: 0.36
2020-09-06 20:19:20,008 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 63.68 | ExpVar: 0.03
2020-09-06 20:19:20,020 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 62.99 | ExpVar: -0.01
2020-09-06 20:19:20,037 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 65.82 | ExpVar: -0.05
2020-09-06 20:19:20,057 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 57.99 | ExpVar: 0.11
2020-09-06 20:19:20,096 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 63.65 | ExpVar: 0.03
2020-09-06 20:19:20,126 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 62.95 | ExpVar: -0.01
2020-09-06 20:19:20,156 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 65.79 | ExpVar: -0.05
2020-09-06 20:19:20,186 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 57.98 | ExpVar: 0.11
2020-09-06 20:19:20,253 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 63.65 | ExpVar: 0.03
2020-09-06 20:19:20,303 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 62.95 | ExpVar: -0.01
2020-09-06 20:19:20,353 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 65.79 | ExpVar: -0.05
2020-09-06 20:19:20,390 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 57.98 | ExpVar: 0.11
2020-09-06 20:19:20,513 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 63.65 | ExpVar: 0.03
2020-09-06 20:19:20,600 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 62.95 | ExpVar: -0.01
2020-09-06 20:19:20,693 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 65.79 | ExpVar: -0.05
2020-09-06 20:19:20,770 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 57.98 | ExpVar: 0.11
2020-09-06 20:19:20,793 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 90.81 | ExpVar: -0.92
2020-09-06 20:19:20,817 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 65.73 | ExpVar: -0.08
2020-09-06 20:19:20,835 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 89.44 | ExpVar: -0.89
2020-09-06 20:19:20,858 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 66.56 | ExpVar: -0.17
2020-09-06 20:19:20,903 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 90.81 | ExpVar: -0.92
2020-09-06 20:19:20,951 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 65.73 | ExpVar: -0.08
2020-09-06 20:19:20,990 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 89.44 | ExpVar: -0.89
2020-09-06 20:19:21,030 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 66.56 | ExpVar: -0.17
2020-09-06 20:19:21,083 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 90.81 | ExpVar: -0.92
2020-09-06 20:19:21,134 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 65.73 | ExpVar: -0.08
2020-09-06 20:19:21,195 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 89.44 | ExpVar: -0.89
2020-09-06 20:19:21,250 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 66.56 | ExpVar: -0.17
2020-09-06 20:19:21,342 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 90.81 | ExpVar: -0.92
2020-09-06 20:19:21,436 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 65.73 | ExpVar: -0.08
2020-09-06 20:19:21,545 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 89.44 | ExpVar: -0.89
2020-09-06 20:19:21,643 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 66.56 | ExpVar: -0.17
2020-09-06 20:19:21,657 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 52.01 | ExpVar: 0.26
2020-09-06 20:19:21,667 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 46.59 | ExpVar: 0.38
2020-09-06 20:19:21,679 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 60.67 | ExpVar: 0.03
2020-09-06 20:19:21,689 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 63.63 | ExpVar: -0.06
2020-09-06 20:19:21,719 Results for XGB 53 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 47.4 | ExpVar: 0.35
2020-09-06 20:19:21,745 Results for XGB 54 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 41.61 | ExpVar: 0.47
2020-09-06 20:19:21,773 Results for XGB 55 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 59.42 | ExpVar: 0.08
2020-09-06 20:19:21,800 Results for XGB 56 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 62.1 | ExpVar: -0.04
2020-09-06 20:19:21,849 Results for XGB 57 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 47.39 | ExpVar: 0.35
2020-09-06 20:19:21,903 Results for XGB 58 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 41.57 | ExpVar: 0.47
2020-09-06 20:19:21,955 Results for XGB 59 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 59.42 | ExpVar: 0.08
2020-09-06 20:19:21,997 Results for XGB 60 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 62.1 | ExpVar: -0.04
