2020-09-06 20:19:35,139 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 57.69 | ExpVar: -0.35
2020-09-06 20:19:35,261 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 61.81 | ExpVar: -0.48
2020-09-06 20:19:35,420 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 56.86 | ExpVar: -0.3
2020-09-06 20:19:35,663 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 61.31 | ExpVar: -0.46
2020-09-06 20:19:35,972 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 57.76 | ExpVar: -0.34
2020-09-06 20:19:36,519 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 62.05 | ExpVar: -0.49
2020-09-06 20:19:36,621 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 56.53 | ExpVar: -0.29
2020-09-06 20:19:36,648 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 61.56 | ExpVar: -0.46
2020-09-06 20:19:36,686 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 57.76 | ExpVar: -0.33
2020-09-06 20:19:36,730 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 62.05 | ExpVar: -0.49
2020-09-06 20:19:36,781 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 56.53 | ExpVar: -0.29
2020-09-06 20:19:36,818 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 61.56 | ExpVar: -0.46
2020-09-06 20:19:36,890 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 57.76 | ExpVar: -0.33
2020-09-06 20:19:36,983 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 62.05 | ExpVar: -0.49
2020-09-06 20:19:37,051 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 56.53 | ExpVar: -0.29
2020-09-06 20:19:37,165 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 61.56 | ExpVar: -0.46
2020-09-06 20:19:37,180 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 55.21 | ExpVar: -0.13
2020-09-06 20:19:37,199 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 60.29 | ExpVar: -0.32
2020-09-06 20:19:37,218 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 55.06 | ExpVar: -0.09
2020-09-06 20:19:37,230 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 59.65 | ExpVar: -0.35
2020-09-06 20:19:37,256 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 55.2 | ExpVar: -0.13
2020-09-06 20:19:37,286 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 60.32 | ExpVar: -0.32
2020-09-06 20:19:37,310 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 55.08 | ExpVar: -0.09
2020-09-06 20:19:37,334 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 59.68 | ExpVar: -0.35
2020-09-06 20:19:37,378 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 55.2 | ExpVar: -0.13
2020-09-06 20:19:37,433 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 60.32 | ExpVar: -0.32
2020-09-06 20:19:37,472 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 55.08 | ExpVar: -0.09
2020-09-06 20:19:37,510 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 59.68 | ExpVar: -0.35
2020-09-06 20:19:37,596 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 55.2 | ExpVar: -0.13
2020-09-06 20:19:37,677 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 60.32 | ExpVar: -0.32
2020-09-06 20:19:37,748 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 55.08 | ExpVar: -0.09
2020-09-06 20:19:37,829 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 59.68 | ExpVar: -0.35
2020-09-06 20:19:37,861 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 57.09 | ExpVar: -0.33
2020-09-06 20:19:37,883 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 59.16 | ExpVar: -0.44
2020-09-06 20:19:37,901 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 56.49 | ExpVar: -0.29
2020-09-06 20:19:37,919 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 59.38 | ExpVar: -0.38
2020-09-06 20:19:37,952 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 57.09 | ExpVar: -0.33
2020-09-06 20:19:37,984 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 59.17 | ExpVar: -0.44
2020-09-06 20:19:38,019 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 56.49 | ExpVar: -0.29
2020-09-06 20:19:38,055 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 59.39 | ExpVar: -0.38
2020-09-06 20:19:38,101 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 57.09 | ExpVar: -0.33
2020-09-06 20:19:38,153 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 59.17 | ExpVar: -0.44
2020-09-06 20:19:38,205 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 56.49 | ExpVar: -0.29
2020-09-06 20:19:38,254 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 59.39 | ExpVar: -0.38
2020-09-06 20:19:38,375 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 57.09 | ExpVar: -0.33
