2020-09-06 20:19:59,013 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 20.84 | ExpVar: -0.52
2020-09-06 20:19:59,027 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 21.61 | ExpVar: -0.7
2020-09-06 20:19:59,043 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 21.17 | ExpVar: -0.55
2020-09-06 20:19:59,059 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.32 | ExpVar: -0.61
2020-09-06 20:19:59,087 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 20.87 | ExpVar: -0.52
2020-09-06 20:19:59,132 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 21.72 | ExpVar: -0.7
2020-09-06 20:19:59,175 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 21.16 | ExpVar: -0.55
2020-09-06 20:19:59,213 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.38 | ExpVar: -0.62
2020-09-06 20:19:59,262 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 20.87 | ExpVar: -0.52
2020-09-06 20:19:59,325 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 21.72 | ExpVar: -0.7
2020-09-06 20:19:59,373 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 21.16 | ExpVar: -0.55
2020-09-06 20:19:59,432 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.38 | ExpVar: -0.62
2020-09-06 20:19:59,523 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 20.87 | ExpVar: -0.52
2020-09-06 20:19:59,625 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 21.72 | ExpVar: -0.7
2020-09-06 20:19:59,710 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 21.16 | ExpVar: -0.55
2020-09-06 20:19:59,809 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.38 | ExpVar: -0.62
2020-09-06 20:19:59,826 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 21.55 | ExpVar: -0.61
2020-09-06 20:19:59,840 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 20.03 | ExpVar: -0.52
2020-09-06 20:19:59,855 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 21.39 | ExpVar: -0.59
2020-09-06 20:19:59,871 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.12 | ExpVar: -0.61
2020-09-06 20:19:59,903 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 21.56 | ExpVar: -0.61
2020-09-06 20:19:59,942 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 20.05 | ExpVar: -0.52
2020-09-06 20:19:59,972 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 21.39 | ExpVar: -0.59
2020-09-06 20:20:00,014 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.12 | ExpVar: -0.61
2020-09-06 20:20:00,070 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 21.56 | ExpVar: -0.61
2020-09-06 20:20:00,130 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 20.05 | ExpVar: -0.52
2020-09-06 20:20:00,178 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 21.39 | ExpVar: -0.59
2020-09-06 20:20:00,234 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.12 | ExpVar: -0.61
2020-09-06 20:20:00,318 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 21.56 | ExpVar: -0.61
2020-09-06 20:20:00,421 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 20.05 | ExpVar: -0.52
2020-09-06 20:20:00,505 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 21.39 | ExpVar: -0.59
2020-09-06 20:20:00,591 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.12 | ExpVar: -0.61
2020-09-06 20:20:00,621 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 23.64 | ExpVar: -1.21
2020-09-06 20:20:00,667 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 20.76 | ExpVar: -0.64
2020-09-06 20:20:00,689 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 22.85 | ExpVar: -1.05
2020-09-06 20:20:00,715 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.2 | ExpVar: -0.69
2020-09-06 20:20:00,760 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 23.64 | ExpVar: -1.21
2020-09-06 20:20:00,802 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 20.76 | ExpVar: -0.64
2020-09-06 20:20:00,833 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 22.85 | ExpVar: -1.05
2020-09-06 20:20:00,874 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.21 | ExpVar: -0.69
2020-09-06 20:20:00,940 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 23.64 | ExpVar: -1.21
2020-09-06 20:20:01,000 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 20.76 | ExpVar: -0.64
2020-09-06 20:20:01,054 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 22.85 | ExpVar: -1.05
2020-09-06 20:20:01,121 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.21 | ExpVar: -0.69
2020-09-06 20:20:01,206 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 23.64 | ExpVar: -1.21
2020-09-06 20:20:01,294 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 20.76 | ExpVar: -0.64
2020-09-06 20:20:01,396 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 22.85 | ExpVar: -1.05
2020-09-06 20:20:01,483 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.21 | ExpVar: -0.69
2020-09-06 20:20:01,500 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 18.86 | ExpVar: -0.14
2020-09-06 20:20:01,511 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 19.68 | ExpVar: -0.21
2020-09-06 20:20:01,524 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 20.12 | ExpVar: -0.25
2020-09-06 20:20:01,535 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.76 | ExpVar: -0.29
2020-09-06 20:20:01,561 Results for XGB 53 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 18.88 | ExpVar: -0.15
2020-09-06 20:20:01,588 Results for XGB 54 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 19.64 | ExpVar: -0.21
2020-09-06 20:20:01,620 Results for XGB 55 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 20.21 | ExpVar: -0.26
2020-09-06 20:20:01,645 Results for XGB 56 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.75 | ExpVar: -0.3
2020-09-06 20:20:01,684 Results for XGB 57 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 18.88 | ExpVar: -0.15
2020-09-06 20:20:01,724 Results for XGB 58 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 19.64 | ExpVar: -0.21
2020-09-06 20:20:01,762 Results for XGB 59 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 20.21 | ExpVar: -0.26
2020-09-06 20:20:01,800 Results for XGB 60 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.75 | ExpVar: -0.3
2020-09-06 20:20:01,887 Results for XGB 61 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 18.88 | ExpVar: -0.15
2020-09-06 20:20:01,966 Results for XGB 62 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 19.64 | ExpVar: -0.21
2020-09-06 20:20:02,040 Results for XGB 63 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 20.21 | ExpVar: -0.26
2020-09-06 20:20:02,124 Results for XGB 64 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.75 | ExpVar: -0.3
2020-09-06 20:20:02,143 Results for XGB 65 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 21.92 | ExpVar: -0.72
2020-09-06 20:20:02,158 Results for XGB 66 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 19.17 | ExpVar: -0.31
2020-09-06 20:20:02,175 Results for XGB 67 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 18.68 | ExpVar: -0.11
2020-09-06 20:20:02,192 Results for XGB 68 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.65 | ExpVar: -0.07
2020-09-06 20:20:02,220 Results for XGB 69 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 21.98 | ExpVar: -0.73
2020-09-06 20:20:02,253 Results for XGB 70 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 19.23 | ExpVar: -0.32
2020-09-06 20:20:02,289 Results for XGB 71 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 18.75 | ExpVar: -0.12
2020-09-06 20:20:02,317 Results for XGB 72 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.72 | ExpVar: -0.08
2020-09-06 20:20:02,370 Results for XGB 73 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 21.98 | ExpVar: -0.73
2020-09-06 20:20:02,427 Results for XGB 74 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 19.23 | ExpVar: -0.32
2020-09-06 20:20:02,483 Results for XGB 75 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 18.75 | ExpVar: -0.12
2020-09-06 20:20:02,535 Results for XGB 76 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.72 | ExpVar: -0.08
2020-09-06 20:20:02,619 Results for XGB 77 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 21.98 | ExpVar: -0.73
2020-09-06 20:20:02,702 Results for XGB 78 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 19.23 | ExpVar: -0.32
2020-09-06 20:20:02,800 Results for XGB 79 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 18.75 | ExpVar: -0.12
2020-09-06 20:20:02,893 Results for XGB 80 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.72 | ExpVar: -0.08
2020-09-06 20:20:02,918 Results for XGB 81 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 16.79 | ExpVar: 0.03
2020-09-06 20:20:02,941 Results for XGB 82 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 19.85 | ExpVar: -0.35
2020-09-06 20:20:02,961 Results for XGB 83 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 18.95 | ExpVar: -0.15
2020-09-06 20:20:02,983 Results for XGB 84 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.78 | ExpVar: -0.06
2020-09-06 20:20:03,306 Results for XGB 85 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 16.8 | ExpVar: 0.02
2020-09-06 20:20:03,760 Results for XGB 86 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 19.91 | ExpVar: -0.36
2020-09-06 20:20:04,171 Results for XGB 87 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 18.98 | ExpVar: -0.15
2020-09-06 20:20:04,596 Results for XGB 88 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.84 | ExpVar: -0.07
2020-09-06 20:20:05,209 Results for XGB 89 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 16.8 | ExpVar: 0.02
2020-09-06 20:20:05,857 Results for XGB 90 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 19.91 | ExpVar: -0.36
2020-09-06 20:20:06,479 Results for XGB 91 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 18.98 | ExpVar: -0.15
2020-09-06 20:20:10,325 Results for XGB 92 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.84 | ExpVar: -0.07
2020-09-06 20:20:11,244 Results for XGB 93 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 16.8 | ExpVar: 0.02
2020-09-06 20:20:11,373 Results for XGB 94 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 19.91 | ExpVar: -0.36
2020-09-06 20:20:11,508 Results for XGB 95 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 18.98 | ExpVar: -0.15
2020-09-06 20:20:11,637 Results for XGB 96 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.84 | ExpVar: -0.07
2020-09-06 20:20:11,638 Best Model:
2020-09-06 20:20:11,639 Target:reg:gamma
2020-09-06 20:20:11,639 MaxDepth:6
2020-09-06 20:20:11,640 NEstimators:100
2020-09-06 20:20:11,641 Alpha:0
2020-09-06 20:20:11,642 Gamma:0
