2020-09-06 20:13:36,984 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 18.8 | ExpVar: -0.19
2020-09-06 20:13:37,001 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 19.81 | ExpVar: -0.25
2020-09-06 20:13:37,017 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 17.85 | ExpVar: -0.01
2020-09-06 20:13:37,033 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 19.47 | ExpVar: -0.18
2020-09-06 20:13:37,067 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 19.17 | ExpVar: -0.24
2020-09-06 20:13:37,104 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 20.07 | ExpVar: -0.28
2020-09-06 20:13:37,138 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 18.07 | ExpVar: -0.04
2020-09-06 20:13:37,173 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 19.6 | ExpVar: -0.21
2020-09-06 20:13:37,234 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 19.18 | ExpVar: -0.24
2020-09-06 20:13:37,303 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 20.07 | ExpVar: -0.28
2020-09-06 20:13:37,361 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 18.07 | ExpVar: -0.04
2020-09-06 20:13:37,418 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 19.61 | ExpVar: -0.21
2020-09-06 20:13:37,526 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 19.18 | ExpVar: -0.24
2020-09-06 20:13:37,607 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 20.07 | ExpVar: -0.28
2020-09-06 20:13:37,695 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 18.07 | ExpVar: -0.04
2020-09-06 20:13:37,784 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 19.61 | ExpVar: -0.21
2020-09-06 20:13:37,797 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 19.99 | ExpVar: -0.34
2020-09-06 20:13:37,812 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 18.6 | ExpVar: -0.06
2020-09-06 20:13:37,824 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 18.94 | ExpVar: -0.3
2020-09-06 20:13:37,835 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.44 | ExpVar: -0.1
2020-09-06 20:13:37,869 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 20.0 | ExpVar: -0.34
2020-09-06 20:13:37,896 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 18.63 | ExpVar: -0.06
2020-09-06 20:13:37,919 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 18.97 | ExpVar: -0.3
2020-09-06 20:13:37,941 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.44 | ExpVar: -0.11
2020-09-06 20:13:37,996 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 20.0 | ExpVar: -0.34
2020-09-06 20:13:38,052 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 18.63 | ExpVar: -0.06
2020-09-06 20:13:38,104 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 18.97 | ExpVar: -0.3
2020-09-06 20:13:38,143 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.44 | ExpVar: -0.11
2020-09-06 20:13:38,215 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 20.0 | ExpVar: -0.34
2020-09-06 20:13:38,317 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 18.63 | ExpVar: -0.06
2020-09-06 20:13:38,381 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 18.97 | ExpVar: -0.3
2020-09-06 20:13:38,462 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 18.44 | ExpVar: -0.11
2020-09-06 20:13:38,483 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 19.22 | ExpVar: 0.12
2020-09-06 20:13:38,505 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 19.74 | ExpVar: -0.06
2020-09-06 20:13:38,528 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 21.09 | ExpVar: -0.4
2020-09-06 20:13:38,546 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.54 | ExpVar: -0.13
2020-09-06 20:13:38,575 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 19.22 | ExpVar: 0.12
2020-09-06 20:13:38,617 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 19.74 | ExpVar: -0.06
2020-09-06 20:13:38,650 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 21.09 | ExpVar: -0.4
2020-09-06 20:13:38,686 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.54 | ExpVar: -0.13
2020-09-06 20:13:38,745 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 19.22 | ExpVar: 0.12
2020-09-06 20:13:38,787 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 19.74 | ExpVar: -0.06
2020-09-06 20:13:38,843 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 21.09 | ExpVar: -0.4
2020-09-06 20:13:38,898 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.54 | ExpVar: -0.13
2020-09-06 20:13:38,974 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 19.22 | ExpVar: 0.12
2020-09-06 20:13:39,041 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 19.74 | ExpVar: -0.06
2020-09-06 20:13:39,128 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 21.09 | ExpVar: -0.4
2020-09-06 20:13:39,205 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.54 | ExpVar: -0.13
2020-09-06 20:13:39,216 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 16.68 | ExpVar: 0.1
2020-09-06 20:13:39,230 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 16.42 | ExpVar: 0.1
2020-09-06 20:13:39,268 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 15.45 | ExpVar: 0.18
2020-09-06 20:13:39,283 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 16.76 | ExpVar: 0.17
2020-09-06 20:13:39,314 Results for XGB 53 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 17.54 | ExpVar: 0.05
2020-09-06 20:13:39,343 Results for XGB 54 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 17.19 | ExpVar: 0.04
2020-09-06 20:13:39,360 Results for XGB 55 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 15.53 | ExpVar: 0.14
2020-09-06 20:13:39,382 Results for XGB 56 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 16.8 | ExpVar: 0.14
2020-09-06 20:13:39,430 Results for XGB 57 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 17.53 | ExpVar: 0.05
2020-09-06 20:13:39,478 Results for XGB 58 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 17.19 | ExpVar: 0.04
2020-09-06 20:13:39,518 Results for XGB 59 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 15.53 | ExpVar: 0.14
2020-09-06 20:13:39,550 Results for XGB 60 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 16.8 | ExpVar: 0.14
2020-09-06 20:13:39,635 Results for XGB 61 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 17.53 | ExpVar: 0.05
2020-09-06 20:13:39,705 Results for XGB 62 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 17.19 | ExpVar: 0.04
2020-09-06 20:13:39,778 Results for XGB 63 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 15.53 | ExpVar: 0.14
2020-09-06 20:13:39,844 Results for XGB 64 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 16.8 | ExpVar: 0.14
2020-09-06 20:13:39,859 Results for XGB 65 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 18.09 | ExpVar: -0.06
2020-09-06 20:13:39,873 Results for XGB 66 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 16.45 | ExpVar: -0.05
2020-09-06 20:13:39,886 Results for XGB 67 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 15.77 | ExpVar: -0.04
2020-09-06 20:13:39,899 Results for XGB 68 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 17.54 | ExpVar: 0.16
2020-09-06 20:13:39,923 Results for XGB 69 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 18.13 | ExpVar: -0.08
2020-09-06 20:13:39,951 Results for XGB 70 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 16.51 | ExpVar: -0.04
2020-09-06 20:13:39,976 Results for XGB 71 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 15.84 | ExpVar: -0.05
2020-09-06 20:13:40,000 Results for XGB 72 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 17.42 | ExpVar: 0.16
2020-09-06 20:13:40,040 Results for XGB 73 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 18.13 | ExpVar: -0.08
2020-09-06 20:13:40,089 Results for XGB 74 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 16.51 | ExpVar: -0.04
2020-09-06 20:13:40,136 Results for XGB 75 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 15.84 | ExpVar: -0.05
2020-09-06 20:13:40,179 Results for XGB 76 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 17.42 | ExpVar: 0.16
2020-09-06 20:13:40,252 Results for XGB 77 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 18.13 | ExpVar: -0.08
2020-09-06 20:13:40,326 Results for XGB 78 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 16.51 | ExpVar: -0.04
2020-09-06 20:13:40,401 Results for XGB 79 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 15.84 | ExpVar: -0.05
2020-09-06 20:13:40,486 Results for XGB 80 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 17.42 | ExpVar: 0.16
2020-09-06 20:13:40,508 Results for XGB 81 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 24.23 | ExpVar: -0.89
2020-09-06 20:13:40,527 Results for XGB 82 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 18.85 | ExpVar: -0.29
2020-09-06 20:13:40,547 Results for XGB 83 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 15.1 | ExpVar: 0.04
