2020-09-06 20:20:31,813 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 21.98 | ExpVar: 0.33
2020-09-06 20:20:31,829 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 20.96 | ExpVar: 0.43
2020-09-06 20:20:31,842 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 22.18 | ExpVar: 0.33
2020-09-06 20:20:31,854 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.53 | ExpVar: 0.45
2020-09-06 20:20:31,882 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 21.98 | ExpVar: 0.31
2020-09-06 20:20:31,906 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 20.8 | ExpVar: 0.42
2020-09-06 20:20:31,933 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 22.49 | ExpVar: 0.3
2020-09-06 20:20:31,962 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.57 | ExpVar: 0.45
2020-09-06 20:20:32,014 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 21.98 | ExpVar: 0.31
2020-09-06 20:20:32,068 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 20.81 | ExpVar: 0.42
2020-09-06 20:20:32,110 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 22.46 | ExpVar: 0.3
2020-09-06 20:20:32,182 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.55 | ExpVar: 0.45
2020-09-06 20:20:32,280 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 21.98 | ExpVar: 0.31
2020-09-06 20:20:32,372 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 20.81 | ExpVar: 0.42
2020-09-06 20:20:32,454 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 22.46 | ExpVar: 0.3
2020-09-06 20:20:32,518 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.55 | ExpVar: 0.45
2020-09-06 20:20:32,530 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 26.54 | ExpVar: 0.21
2020-09-06 20:20:32,544 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 27.08 | ExpVar: 0.19
2020-09-06 20:20:32,555 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 25.69 | ExpVar: 0.24
2020-09-06 20:20:32,576 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 26.99 | ExpVar: 0.19
2020-09-06 20:20:32,611 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 26.56 | ExpVar: 0.21
2020-09-06 20:20:32,674 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 27.03 | ExpVar: 0.19
2020-09-06 20:20:32,705 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 25.7 | ExpVar: 0.24
2020-09-06 20:20:32,733 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 26.98 | ExpVar: 0.19
2020-09-06 20:20:32,801 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 26.56 | ExpVar: 0.21
2020-09-06 20:20:32,857 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 27.03 | ExpVar: 0.19
2020-09-06 20:20:32,897 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 25.7 | ExpVar: 0.24
