2020-09-06 20:19:24,800 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 36.84 | ExpVar: -0.07
2020-09-06 20:19:24,814 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 37.75 | ExpVar: -0.1
2020-09-06 20:19:24,825 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 37.31 | ExpVar: -0.07
2020-09-06 20:19:24,838 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 36.68 | ExpVar: -0.05
2020-09-06 20:19:24,858 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 36.39 | ExpVar: -0.04
2020-09-06 20:19:24,875 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 37.32 | ExpVar: -0.09
2020-09-06 20:19:24,893 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 36.61 | ExpVar: -0.04
2020-09-06 20:19:24,911 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 36.6 | ExpVar: -0.04
2020-09-06 20:19:24,942 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 36.38 | ExpVar: -0.04
2020-09-06 20:19:24,976 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 37.26 | ExpVar: -0.09
2020-09-06 20:19:25,014 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 36.51 | ExpVar: -0.04
2020-09-06 20:19:25,046 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 36.52 | ExpVar: -0.04
2020-09-06 20:19:25,109 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 36.38 | ExpVar: -0.04
2020-09-06 20:19:25,212 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 37.26 | ExpVar: -0.09
2020-09-06 20:19:25,264 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 36.51 | ExpVar: -0.04
2020-09-06 20:19:25,329 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 36.52 | ExpVar: -0.04
2020-09-06 20:19:25,340 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 35.62 | ExpVar: 0.14
2020-09-06 20:19:25,350 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 33.42 | ExpVar: 0.28
2020-09-06 20:19:25,362 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 36.16 | ExpVar: 0.14
2020-09-06 20:19:25,371 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 33.74 | ExpVar: 0.25
2020-09-06 20:19:25,392 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 35.66 | ExpVar: 0.13
2020-09-06 20:19:25,422 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 33.37 | ExpVar: 0.28
2020-09-06 20:19:25,451 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 36.1 | ExpVar: 0.14
2020-09-06 20:19:25,468 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 33.78 | ExpVar: 0.25
2020-09-06 20:19:25,504 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 35.66 | ExpVar: 0.13
2020-09-06 20:19:25,543 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 33.37 | ExpVar: 0.28
2020-09-06 20:19:25,574 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 36.1 | ExpVar: 0.14
2020-09-06 20:19:25,609 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 33.78 | ExpVar: 0.25
2020-09-06 20:19:25,695 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 35.66 | ExpVar: 0.13
2020-09-06 20:19:25,765 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 33.37 | ExpVar: 0.28
2020-09-06 20:19:25,834 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 36.1 | ExpVar: 0.14
2020-09-06 20:19:25,908 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 33.78 | ExpVar: 0.25
2020-09-06 20:19:25,925 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 37.97 | ExpVar: -0.24
2020-09-06 20:19:25,941 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 43.98 | ExpVar: -0.24
2020-09-06 20:19:25,952 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 36.58 | ExpVar: -0.1
2020-09-06 20:19:25,963 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 40.94 | ExpVar: -0.09
2020-09-06 20:19:25,985 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 37.97 | ExpVar: -0.24
2020-09-06 20:19:26,012 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 43.98 | ExpVar: -0.24
2020-09-06 20:19:26,038 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 36.58 | ExpVar: -0.1
2020-09-06 20:19:26,073 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 40.94 | ExpVar: -0.09
2020-09-06 20:19:26,117 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 37.97 | ExpVar: -0.24
2020-09-06 20:19:26,154 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 43.98 | ExpVar: -0.24
2020-09-06 20:19:26,185 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 36.58 | ExpVar: -0.1
2020-09-06 20:19:26,217 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 40.94 | ExpVar: -0.09
2020-09-06 20:19:26,289 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 37.97 | ExpVar: -0.24
2020-09-06 20:19:26,357 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 43.98 | ExpVar: -0.24
2020-09-06 20:19:26,423 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 36.58 | ExpVar: -0.1
2020-09-06 20:19:26,477 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 40.94 | ExpVar: -0.09
2020-09-06 20:19:26,488 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 38.05 | ExpVar: 0.14
2020-09-06 20:19:26,500 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 37.7 | ExpVar: 0.25
2020-09-06 20:19:26,511 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 37.76 | ExpVar: 0.26
2020-09-06 20:19:26,522 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 37.87 | ExpVar: 0.24
2020-09-06 20:19:26,547 Results for XGB 53 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 37.77 | ExpVar: 0.15
2020-09-06 20:19:26,573 Results for XGB 54 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 40.92 | ExpVar: 0.08
2020-09-06 20:19:26,590 Results for XGB 55 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 37.04 | ExpVar: 0.19
2020-09-06 20:19:26,615 Results for XGB 56 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 37.95 | ExpVar: 0.19
