2020-09-06 20:18:53,316 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 20.05 | ExpVar: -0.03
2020-09-06 20:18:53,329 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 19.76 | ExpVar: 0.02
2020-09-06 20:18:53,343 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 20.59 | ExpVar: -0.14
2020-09-06 20:18:53,354 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.7 | ExpVar: -0.04
2020-09-06 20:18:53,377 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 20.0 | ExpVar: -0.02
2020-09-06 20:18:53,413 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 19.77 | ExpVar: 0.02
2020-09-06 20:18:53,440 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 20.57 | ExpVar: -0.14
2020-09-06 20:18:53,473 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.65 | ExpVar: -0.03
2020-09-06 20:18:53,525 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 20.0 | ExpVar: -0.02
2020-09-06 20:18:53,578 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 19.78 | ExpVar: 0.02
2020-09-06 20:18:53,654 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 20.57 | ExpVar: -0.14
2020-09-06 20:18:53,721 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.65 | ExpVar: -0.03
2020-09-06 20:18:53,825 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 20.0 | ExpVar: -0.02
2020-09-06 20:18:53,912 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 19.78 | ExpVar: 0.02
2020-09-06 20:18:54,458 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 20.57 | ExpVar: -0.14
2020-09-06 20:18:55,603 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 20.65 | ExpVar: -0.03
2020-09-06 20:18:55,751 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 20.79 | ExpVar: -0.07
2020-09-06 20:18:55,980 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 21.2 | ExpVar: -0.07
2020-09-06 20:18:56,224 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 19.77 | ExpVar: -0.04
2020-09-06 20:18:56,516 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.21 | ExpVar: -0.1
2020-09-06 20:18:57,053 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 20.8 | ExpVar: -0.07
2020-09-06 20:18:57,437 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 21.19 | ExpVar: -0.06
2020-09-06 20:18:57,765 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 19.76 | ExpVar: -0.04
2020-09-06 20:18:58,139 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.22 | ExpVar: -0.11
2020-09-06 20:18:58,768 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 20.8 | ExpVar: -0.07
2020-09-06 20:18:59,340 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 21.19 | ExpVar: -0.06
2020-09-06 20:18:59,849 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 19.76 | ExpVar: -0.04
