2020-09-06 20:17:22,914 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 24.76 | ExpVar: 0.21
2020-09-06 20:17:22,925 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 27.64 | ExpVar: 0.08
2020-09-06 20:17:22,939 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 24.63 | ExpVar: 0.23
2020-09-06 20:17:22,953 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 27.82 | ExpVar: 0.08
2020-09-06 20:17:22,979 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 24.87 | ExpVar: 0.2
2020-09-06 20:17:23,003 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 27.61 | ExpVar: 0.08
2020-09-06 20:17:23,026 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 24.6 | ExpVar: 0.22
2020-09-06 20:17:23,046 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 27.98 | ExpVar: 0.07
2020-09-06 20:17:23,099 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 24.87 | ExpVar: 0.2
2020-09-06 20:17:23,143 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 27.62 | ExpVar: 0.08
2020-09-06 20:17:23,191 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 24.61 | ExpVar: 0.22
2020-09-06 20:17:23,240 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 27.98 | ExpVar: 0.07
2020-09-06 20:17:23,351 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 24.87 | ExpVar: 0.2
2020-09-06 20:17:23,430 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 27.62 | ExpVar: 0.08
2020-09-06 20:17:23,500 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 24.61 | ExpVar: 0.22
2020-09-06 20:17:23,553 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 27.98 | ExpVar: 0.07
2020-09-06 20:17:23,567 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 28.74 | ExpVar: -0.03
2020-09-06 20:17:23,579 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 29.07 | ExpVar: -0.03
2020-09-06 20:17:23,593 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 28.26 | ExpVar: -0.01
2020-09-06 20:17:23,605 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 28.04 | ExpVar: 0.02
2020-09-06 20:17:23,630 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 28.72 | ExpVar: -0.03
2020-09-06 20:17:23,666 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 29.09 | ExpVar: -0.03
2020-09-06 20:17:23,690 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 28.27 | ExpVar: -0.01
2020-09-06 20:17:23,718 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 28.07 | ExpVar: 0.02
2020-09-06 20:17:23,756 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 28.72 | ExpVar: -0.03
2020-09-06 20:17:23,821 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 29.09 | ExpVar: -0.03
2020-09-06 20:17:23,862 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 28.27 | ExpVar: -0.01
2020-09-06 20:17:23,898 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 28.07 | ExpVar: 0.02
2020-09-06 20:17:23,966 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 28.72 | ExpVar: -0.03
2020-09-06 20:17:24,026 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 29.09 | ExpVar: -0.03
2020-09-06 20:17:24,084 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 28.27 | ExpVar: -0.01
2020-09-06 20:17:24,146 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 28.07 | ExpVar: 0.02
2020-09-06 20:17:24,175 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 40.88 | ExpVar: -1.24
2020-09-06 20:17:24,193 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 31.86 | ExpVar: -0.38
2020-09-06 20:17:24,209 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 38.82 | ExpVar: -1.02
2020-09-06 20:17:24,230 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 30.6 | ExpVar: -0.2
2020-09-06 20:17:24,261 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 40.88 | ExpVar: -1.24
2020-09-06 20:17:24,288 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 31.86 | ExpVar: -0.38
2020-09-06 20:17:24,319 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 38.82 | ExpVar: -1.02
2020-09-06 20:17:24,349 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 30.61 | ExpVar: -0.2
2020-09-06 20:17:24,387 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 40.88 | ExpVar: -1.24
2020-09-06 20:17:24,439 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 31.86 | ExpVar: -0.38
2020-09-06 20:17:24,487 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 38.82 | ExpVar: -1.02
2020-09-06 20:17:24,523 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 30.61 | ExpVar: -0.2
2020-09-06 20:17:24,583 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 40.88 | ExpVar: -1.24
2020-09-06 20:17:24,653 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 31.86 | ExpVar: -0.38
2020-09-06 20:17:24,742 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 38.82 | ExpVar: -1.02
2020-09-06 20:17:24,834 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 30.61 | ExpVar: -0.2
