2020-09-06 20:15:21,780 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 11.39 | ExpVar: -0.16
2020-09-06 20:15:21,795 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 11.5 | ExpVar: -0.22
2020-09-06 20:15:21,809 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 11.67 | ExpVar: -0.21
2020-09-06 20:15:21,822 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 11.66 | ExpVar: -0.14
2020-09-06 20:15:21,858 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 11.17 | ExpVar: -0.15
2020-09-06 20:15:21,894 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 11.49 | ExpVar: -0.21
2020-09-06 20:15:21,925 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 11.45 | ExpVar: -0.19
2020-09-06 20:15:21,963 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 11.49 | ExpVar: -0.13
2020-09-06 20:15:22,004 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 11.17 | ExpVar: -0.15
2020-09-06 20:15:22,053 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 11.49 | ExpVar: -0.21
2020-09-06 20:15:22,121 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 11.45 | ExpVar: -0.19
2020-09-06 20:15:22,177 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 11.49 | ExpVar: -0.13
2020-09-06 20:15:22,259 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 11.17 | ExpVar: -0.15
2020-09-06 20:15:22,348 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 11.49 | ExpVar: -0.21
2020-09-06 20:15:22,436 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 11.45 | ExpVar: -0.19
2020-09-06 20:15:22,517 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 11.49 | ExpVar: -0.13
2020-09-06 20:15:22,540 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 13.62 | ExpVar: -0.64
2020-09-06 20:15:22,563 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 12.96 | ExpVar: -0.5
2020-09-06 20:15:22,612 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 13.49 | ExpVar: -0.61
