2020-09-06 20:14:49,911 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.87 | ExpVar: -0.25
2020-09-06 20:14:49,920 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.85 | ExpVar: -0.22
2020-09-06 20:14:49,931 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.98 | ExpVar: -0.42
2020-09-06 20:14:49,948 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.87 | ExpVar: -0.28
2020-09-06 20:14:49,973 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 1.88 | ExpVar: -0.29
2020-09-06 20:14:49,999 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 1.86 | ExpVar: -0.25
2020-09-06 20:14:50,029 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 2.0 | ExpVar: -0.44
2020-09-06 20:14:50,052 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.89 | ExpVar: -0.3
2020-09-06 20:14:50,100 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 1.88 | ExpVar: -0.29
2020-09-06 20:14:50,139 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 1.86 | ExpVar: -0.25
2020-09-06 20:14:50,174 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 2.0 | ExpVar: -0.44
2020-09-06 20:14:50,221 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.89 | ExpVar: -0.3
2020-09-06 20:14:50,312 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 1.88 | ExpVar: -0.29
2020-09-06 20:14:50,387 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 1.86 | ExpVar: -0.25
2020-09-06 20:14:50,461 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 2.0 | ExpVar: -0.44
2020-09-06 20:14:50,536 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.89 | ExpVar: -0.3
2020-09-06 20:14:50,548 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.94 | ExpVar: -0.44
2020-09-06 20:14:50,560 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.89 | ExpVar: -0.34
2020-09-06 20:14:50,580 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.77 | ExpVar: -0.3
2020-09-06 20:14:50,595 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.74 | ExpVar: -0.22
2020-09-06 20:14:50,623 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 1.94 | ExpVar: -0.44
2020-09-06 20:14:50,652 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 1.89 | ExpVar: -0.34
2020-09-06 20:14:50,681 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 1.77 | ExpVar: -0.3
2020-09-06 20:14:50,713 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.74 | ExpVar: -0.22
2020-09-06 20:14:50,761 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 1.94 | ExpVar: -0.44
2020-09-06 20:14:50,818 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 1.89 | ExpVar: -0.34
2020-09-06 20:14:50,860 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 1.77 | ExpVar: -0.3
2020-09-06 20:14:50,893 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.74 | ExpVar: -0.22
2020-09-06 20:14:50,959 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 1.94 | ExpVar: -0.44
2020-09-06 20:14:51,035 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 1.89 | ExpVar: -0.34
2020-09-06 20:14:51,103 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 1.77 | ExpVar: -0.3
2020-09-06 20:14:51,170 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.74 | ExpVar: -0.22
2020-09-06 20:14:51,192 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 2.72 | ExpVar: -1.4
2020-09-06 20:14:51,212 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 2.38 | ExpVar: -0.55
2020-09-06 20:14:51,231 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 2.46 | ExpVar: -0.69
2020-09-06 20:14:51,254 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.43 | ExpVar: -0.78
2020-09-06 20:14:51,284 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 2.72 | ExpVar: -1.4
2020-09-06 20:14:51,313 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 2.38 | ExpVar: -0.55
2020-09-06 20:14:51,341 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 2.46 | ExpVar: -0.69
2020-09-06 20:14:51,373 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.43 | ExpVar: -0.78
2020-09-06 20:14:52,198 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 2.72 | ExpVar: -1.4
2020-09-06 20:14:52,727 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 2.38 | ExpVar: -0.55
2020-09-06 20:14:53,517 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 2.46 | ExpVar: -0.69
2020-09-06 20:14:54,068 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.43 | ExpVar: -0.78
2020-09-06 20:14:54,913 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 2.72 | ExpVar: -1.4
2020-09-06 20:14:55,778 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 2.38 | ExpVar: -0.55
2020-09-06 20:14:56,604 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 2.46 | ExpVar: -0.69
2020-09-06 20:14:57,458 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 2.43 | ExpVar: -0.78
2020-09-06 20:14:57,574 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 1.53 | ExpVar: -0.02
2020-09-06 20:14:57,714 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 1.52 | ExpVar: -0.02
2020-09-06 20:14:57,869 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 1.51 | ExpVar: -0.03
2020-09-06 20:14:58,023 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 1.52 | ExpVar: -0.02
