2020-09-06 20:18:30,135 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 4.2 | ExpVar: 0.49
2020-09-06 20:18:30,152 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 3.91 | ExpVar: 0.52
2020-09-06 20:18:30,162 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 4.08 | ExpVar: 0.49
2020-09-06 20:18:30,173 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 3.79 | ExpVar: 0.54
2020-09-06 20:18:30,198 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 4.27 | ExpVar: 0.48
2020-09-06 20:18:30,230 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 3.98 | ExpVar: 0.52
2020-09-06 20:18:30,260 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 4.1 | ExpVar: 0.5
2020-09-06 20:18:30,283 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 3.8 | ExpVar: 0.55
2020-09-06 20:18:30,334 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 4.27 | ExpVar: 0.48
2020-09-06 20:18:30,385 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 3.98 | ExpVar: 0.52
2020-09-06 20:18:30,421 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 4.1 | ExpVar: 0.5
