2020-09-06 20:20:17,986 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 21.42 | ExpVar: 0.11
2020-09-06 20:20:18,001 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 21.3 | ExpVar: 0.09
2020-09-06 20:20:18,014 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 21.73 | ExpVar: 0.1
2020-09-06 20:20:18,029 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.5 | ExpVar: 0.1
2020-09-06 20:20:18,052 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 21.35 | ExpVar: 0.1
2020-09-06 20:20:18,075 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 21.15 | ExpVar: 0.09
2020-09-06 20:20:18,101 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 21.7 | ExpVar: 0.09
2020-09-06 20:20:18,137 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.46 | ExpVar: 0.08
2020-09-06 20:20:18,200 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 21.35 | ExpVar: 0.1
2020-09-06 20:20:18,241 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 21.15 | ExpVar: 0.09
2020-09-06 20:20:18,319 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 21.7 | ExpVar: 0.09
2020-09-06 20:20:18,394 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.47 | ExpVar: 0.08
2020-09-06 20:20:18,507 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 21.35 | ExpVar: 0.1
2020-09-06 20:20:18,631 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 21.15 | ExpVar: 0.09
2020-09-06 20:20:18,743 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 21.7 | ExpVar: 0.09
2020-09-06 20:20:18,894 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.47 | ExpVar: 0.08
2020-09-06 20:20:18,914 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 20.25 | ExpVar: 0.27
2020-09-06 20:20:18,935 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 21.65 | ExpVar: 0.2
2020-09-06 20:20:18,960 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 19.97 | ExpVar: 0.28
2020-09-06 20:20:18,983 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.9 | ExpVar: 0.17
2020-09-06 20:20:19,030 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 20.25 | ExpVar: 0.26
2020-09-06 20:20:19,078 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 21.66 | ExpVar: 0.2
2020-09-06 20:20:19,121 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 19.98 | ExpVar: 0.28
2020-09-06 20:20:19,175 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.9 | ExpVar: 0.17
2020-09-06 20:20:19,238 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 20.25 | ExpVar: 0.26
2020-09-06 20:20:19,297 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 21.66 | ExpVar: 0.2
2020-09-06 20:20:19,363 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 19.98 | ExpVar: 0.28
2020-09-06 20:20:19,425 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.9 | ExpVar: 0.17
2020-09-06 20:20:19,559 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 20.25 | ExpVar: 0.26
2020-09-06 20:20:19,694 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 21.66 | ExpVar: 0.2
2020-09-06 20:20:19,856 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 19.98 | ExpVar: 0.28
2020-09-06 20:20:19,926 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.9 | ExpVar: 0.17
2020-09-06 20:20:19,954 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 29.28 | ExpVar: -0.14
