2020-09-06 20:16:12,716 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 6.38 | ExpVar: -0.14
2020-09-06 20:16:12,726 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 6.04 | ExpVar: -0.02
2020-09-06 20:16:12,735 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 6.55 | ExpVar: -0.21
2020-09-06 20:16:12,742 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.55 | ExpVar: -0.19
2020-09-06 20:16:12,757 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 6.41 | ExpVar: -0.17
2020-09-06 20:16:12,776 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 6.02 | ExpVar: -0.03
2020-09-06 20:16:12,795 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 6.52 | ExpVar: -0.24
2020-09-06 20:16:12,810 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.56 | ExpVar: -0.23
2020-09-06 20:16:12,849 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 6.41 | ExpVar: -0.16
2020-09-06 20:16:12,884 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 6.03 | ExpVar: -0.03
2020-09-06 20:16:12,921 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 6.52 | ExpVar: -0.24
2020-09-06 20:16:12,948 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.54 | ExpVar: -0.23
2020-09-06 20:16:13,013 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 6.41 | ExpVar: -0.16
2020-09-06 20:16:13,094 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 6.03 | ExpVar: -0.03
2020-09-06 20:16:13,156 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 6.52 | ExpVar: -0.24
2020-09-06 20:16:13,216 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.54 | ExpVar: -0.23
2020-09-06 20:16:13,229 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 4.74 | ExpVar: 0.29
2020-09-06 20:16:13,237 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 4.74 | ExpVar: 0.3
2020-09-06 20:16:13,245 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 4.62 | ExpVar: 0.33
2020-09-06 20:16:13,259 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 4.92 | ExpVar: 0.24
2020-09-06 20:16:13,287 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 4.73 | ExpVar: 0.29
2020-09-06 20:16:13,317 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 4.72 | ExpVar: 0.3
2020-09-06 20:16:13,344 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 4.59 | ExpVar: 0.33
2020-09-06 20:16:13,369 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 4.88 | ExpVar: 0.24
2020-09-06 20:16:13,402 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 4.73 | ExpVar: 0.29
2020-09-06 20:16:13,440 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 4.72 | ExpVar: 0.3
2020-09-06 20:16:13,466 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 4.59 | ExpVar: 0.33
2020-09-06 20:16:13,523 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 4.88 | ExpVar: 0.24
2020-09-06 20:16:13,589 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 4.73 | ExpVar: 0.29
2020-09-06 20:16:13,642 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 4.72 | ExpVar: 0.3
2020-09-06 20:16:13,687 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 4.59 | ExpVar: 0.33
2020-09-06 20:16:13,745 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 4.88 | ExpVar: 0.24
2020-09-06 20:16:13,757 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 5.72 | ExpVar: -0.17
2020-09-06 20:16:13,774 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 5.54 | ExpVar: -0.12
2020-09-06 20:16:13,791 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 5.48 | ExpVar: -0.12
2020-09-06 20:16:13,805 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.51 | ExpVar: -0.11
2020-09-06 20:16:13,829 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 5.72 | ExpVar: -0.17
2020-09-06 20:16:13,854 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 5.54 | ExpVar: -0.12
2020-09-06 20:16:13,882 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 5.48 | ExpVar: -0.12
2020-09-06 20:16:13,903 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.51 | ExpVar: -0.11
2020-09-06 20:16:13,932 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 5.72 | ExpVar: -0.17
2020-09-06 20:16:13,968 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 5.54 | ExpVar: -0.12
2020-09-06 20:16:14,020 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 5.48 | ExpVar: -0.12
2020-09-06 20:16:14,073 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.51 | ExpVar: -0.11
2020-09-06 20:16:14,159 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 5.72 | ExpVar: -0.17
2020-09-06 20:16:14,254 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 5.54 | ExpVar: -0.12
2020-09-06 20:16:14,342 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 5.48 | ExpVar: -0.12
2020-09-06 20:16:14,428 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.51 | ExpVar: -0.11
2020-09-06 20:16:14,442 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 6.64 | ExpVar: -0.34
2020-09-06 20:16:14,456 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 5.82 | ExpVar: -0.01
2020-09-06 20:16:14,469 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 5.46 | ExpVar: 0.08
2020-09-06 20:16:14,483 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 5.49 | ExpVar: 0.1
2020-09-06 20:16:14,516 Results for XGB 53 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 7.94 | ExpVar: -1.25
2020-09-06 20:16:14,592 Results for XGB 54 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 6.78 | ExpVar: -0.42
2020-09-06 20:16:14,632 Results for XGB 55 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 6.18 | ExpVar: -0.11
2020-09-06 20:16:14,681 Results for XGB 56 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.0 | ExpVar: -0.05
2020-09-06 20:16:14,740 Results for XGB 57 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 7.94 | ExpVar: -1.25
2020-09-06 20:16:14,808 Results for XGB 58 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 6.8 | ExpVar: -0.44
2020-09-06 20:16:14,855 Results for XGB 59 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 6.18 | ExpVar: -0.11
2020-09-06 20:16:14,905 Results for XGB 60 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.02 | ExpVar: -0.06
2020-09-06 20:16:14,989 Results for XGB 61 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 7.94 | ExpVar: -1.25
2020-09-06 20:16:15,078 Results for XGB 62 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 6.8 | ExpVar: -0.44
2020-09-06 20:16:15,157 Results for XGB 63 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 6.18 | ExpVar: -0.11
2020-09-06 20:16:15,251 Results for XGB 64 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.02 | ExpVar: -0.06
2020-09-06 20:16:15,269 Results for XGB 65 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 5.85 | ExpVar: 0.02
2020-09-06 20:16:15,286 Results for XGB 66 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 5.78 | ExpVar: 0.08
2020-09-06 20:16:15,304 Results for XGB 67 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 6.24 | ExpVar: 0.09
2020-09-06 20:16:15,324 Results for XGB 68 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.33 | ExpVar: 0.09
2020-09-06 20:16:15,358 Results for XGB 69 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 5.95 | ExpVar: -0.0
2020-09-06 20:16:15,393 Results for XGB 70 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 5.76 | ExpVar: 0.07
2020-09-06 20:16:15,422 Results for XGB 71 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 6.22 | ExpVar: 0.09
2020-09-06 20:16:15,457 Results for XGB 72 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.33 | ExpVar: 0.09
2020-09-06 20:16:15,503 Results for XGB 73 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 5.95 | ExpVar: -0.0
2020-09-06 20:16:15,536 Results for XGB 74 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 5.76 | ExpVar: 0.07
2020-09-06 20:16:15,567 Results for XGB 75 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 6.22 | ExpVar: 0.09
2020-09-06 20:16:15,598 Results for XGB 76 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.33 | ExpVar: 0.09
2020-09-06 20:16:15,657 Results for XGB 77 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 5.95 | ExpVar: -0.0
2020-09-06 20:16:15,721 Results for XGB 78 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 5.76 | ExpVar: 0.07
2020-09-06 20:16:15,782 Results for XGB 79 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 6.22 | ExpVar: 0.09
2020-09-06 20:16:15,825 Results for XGB 80 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.33 | ExpVar: 0.09
2020-09-06 20:16:15,839 Results for XGB 81 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 6.4 | ExpVar: 0.04
2020-09-06 20:16:15,851 Results for XGB 82 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 6.47 | ExpVar: 0.05
2020-09-06 20:16:15,869 Results for XGB 83 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 6.78 | ExpVar: 0.0
2020-09-06 20:16:15,887 Results for XGB 84 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 6.88 | ExpVar: -0.01
2020-09-06 20:16:15,918 Results for XGB 85 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 6.44 | ExpVar: 0.03
2020-09-06 20:16:15,959 Results for XGB 86 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 6.5 | ExpVar: 0.04
2020-09-06 20:16:15,993 Results for XGB 87 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 6.88 | ExpVar: -0.02
2020-09-06 20:16:16,023 Results for XGB 88 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 7.07 | ExpVar: -0.06
2020-09-06 20:16:16,067 Results for XGB 89 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 6.44 | ExpVar: 0.03
2020-09-06 20:16:16,111 Results for XGB 90 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 6.5 | ExpVar: 0.04
2020-09-06 20:16:16,159 Results for XGB 91 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 6.88 | ExpVar: -0.02
2020-09-06 20:16:16,199 Results for XGB 92 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 7.07 | ExpVar: -0.06
2020-09-06 20:16:16,268 Results for XGB 93 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 6.44 | ExpVar: 0.03
2020-09-06 20:16:16,335 Results for XGB 94 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 6.5 | ExpVar: 0.04
2020-09-06 20:16:16,399 Results for XGB 95 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 6.88 | ExpVar: -0.02
2020-09-06 20:16:16,463 Results for XGB 96 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 7.07 | ExpVar: -0.06
2020-09-06 20:16:16,463 Best Model:
2020-09-06 20:16:16,463 Target:reg:linear
2020-09-06 20:16:16,463 MaxDepth:3
2020-09-06 20:16:16,464 NEstimators:250
2020-09-06 20:16:16,464 Alpha:0.1
2020-09-06 20:16:16,464 Gamma:0
