2020-09-06 20:20:12,881 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 23.72 | ExpVar: 0.09
2020-09-06 20:20:12,895 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 22.5 | ExpVar: 0.16
2020-09-06 20:20:12,908 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 23.59 | ExpVar: 0.09
2020-09-06 20:20:12,922 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 22.17 | ExpVar: 0.18
2020-09-06 20:20:12,943 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 23.3 | ExpVar: 0.1
2020-09-06 20:20:12,964 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 22.31 | ExpVar: 0.18
2020-09-06 20:20:12,990 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 22.89 | ExpVar: 0.1
2020-09-06 20:20:13,021 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.91 | ExpVar: 0.19
2020-09-06 20:20:13,071 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 23.26 | ExpVar: 0.1
2020-09-06 20:20:13,121 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 22.32 | ExpVar: 0.17
2020-09-06 20:20:13,211 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 22.86 | ExpVar: 0.1
2020-09-06 20:20:13,284 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.88 | ExpVar: 0.19
2020-09-06 20:20:13,430 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 23.26 | ExpVar: 0.1
2020-09-06 20:20:13,549 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 22.32 | ExpVar: 0.17
2020-09-06 20:20:13,644 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 22.86 | ExpVar: 0.1
2020-09-06 20:20:13,740 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.88 | ExpVar: 0.19
2020-09-06 20:20:13,758 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 32.01 | ExpVar: -0.52
2020-09-06 20:20:13,774 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 30.44 | ExpVar: -0.38
2020-09-06 20:20:13,791 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 31.99 | ExpVar: -0.54
2020-09-06 20:20:13,807 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 31.08 | ExpVar: -0.44
2020-09-06 20:20:13,842 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 32.02 | ExpVar: -0.52
2020-09-06 20:20:13,884 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 30.42 | ExpVar: -0.38
2020-09-06 20:20:13,915 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 32.04 | ExpVar: -0.55
2020-09-06 20:20:13,951 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 31.07 | ExpVar: -0.44
2020-09-06 20:20:14,012 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 32.02 | ExpVar: -0.52
2020-09-06 20:20:14,078 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 30.42 | ExpVar: -0.38
2020-09-06 20:20:14,115 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 32.04 | ExpVar: -0.55
2020-09-06 20:20:14,155 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 31.07 | ExpVar: -0.44
2020-09-06 20:20:14,217 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 32.02 | ExpVar: -0.52
2020-09-06 20:20:14,272 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 30.42 | ExpVar: -0.38
2020-09-06 20:20:14,336 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 32.04 | ExpVar: -0.55
2020-09-06 20:20:14,425 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 31.07 | ExpVar: -0.44
2020-09-06 20:20:14,442 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 41.15 | ExpVar: -1.3
2020-09-06 20:20:14,458 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 34.55 | ExpVar: -0.98
2020-09-06 20:20:14,478 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 41.43 | ExpVar: -1.35
2020-09-06 20:20:14,499 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 33.98 | ExpVar: -0.86
2020-09-06 20:20:14,524 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 41.15 | ExpVar: -1.3
2020-09-06 20:20:14,549 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 34.55 | ExpVar: -0.98
2020-09-06 20:20:14,574 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 41.43 | ExpVar: -1.35
2020-09-06 20:20:14,601 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 33.98 | ExpVar: -0.86
2020-09-06 20:20:14,638 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 41.15 | ExpVar: -1.3
2020-09-06 20:20:14,678 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 34.55 | ExpVar: -0.98
2020-09-06 20:20:14,730 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 41.43 | ExpVar: -1.35
2020-09-06 20:20:14,771 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 33.98 | ExpVar: -0.86
2020-09-06 20:20:14,834 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 41.15 | ExpVar: -1.3
2020-09-06 20:20:14,906 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 34.55 | ExpVar: -0.98
