2020-09-06 20:19:54,035 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 63.31 | ExpVar: 0.07
2020-09-06 20:19:54,044 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 62.88 | ExpVar: 0.07
2020-09-06 20:19:54,051 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 62.9 | ExpVar: 0.06
2020-09-06 20:19:54,061 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 63.29 | ExpVar: 0.05
2020-09-06 20:19:54,090 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 64.28 | ExpVar: 0.04
2020-09-06 20:19:54,114 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 63.55 | ExpVar: 0.04
2020-09-06 20:19:54,141 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 63.48 | ExpVar: 0.05
2020-09-06 20:19:54,165 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 64.16 | ExpVar: 0.03
2020-09-06 20:19:54,206 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 64.33 | ExpVar: 0.03
2020-09-06 20:19:54,238 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 63.56 | ExpVar: 0.04
2020-09-06 20:19:54,286 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 63.5 | ExpVar: 0.05
2020-09-06 20:19:54,335 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 64.18 | ExpVar: 0.03
2020-09-06 20:19:54,403 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 64.33 | ExpVar: 0.03
2020-09-06 20:19:54,457 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 63.56 | ExpVar: 0.04
2020-09-06 20:19:54,523 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 63.5 | ExpVar: 0.05
2020-09-06 20:19:54,578 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 64.18 | ExpVar: 0.03
2020-09-06 20:19:54,593 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 62.51 | ExpVar: -0.09
2020-09-06 20:19:54,609 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 62.46 | ExpVar: -0.11
2020-09-06 20:19:54,624 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 63.15 | ExpVar: -0.1
2020-09-06 20:19:54,633 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 62.91 | ExpVar: -0.11
2020-09-06 20:19:54,657 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 62.56 | ExpVar: -0.09
