2020-09-06 20:17:15,870 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 47.86 | ExpVar: -0.86
2020-09-06 20:17:15,986 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 43.46 | ExpVar: -0.57
2020-09-06 20:17:16,165 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 48.07 | ExpVar: -0.84
2020-09-06 20:17:16,347 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 43.9 | ExpVar: -0.59
2020-09-06 20:17:17,008 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 46.97 | ExpVar: -0.83
2020-09-06 20:17:17,391 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 42.97 | ExpVar: -0.56
2020-09-06 20:17:18,114 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 47.55 | ExpVar: -0.84
2020-09-06 20:17:18,351 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 44.12 | ExpVar: -0.63
2020-09-06 20:17:18,593 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 46.97 | ExpVar: -0.83
2020-09-06 20:17:18,639 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 42.96 | ExpVar: -0.57
2020-09-06 20:17:18,682 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 47.5 | ExpVar: -0.84
2020-09-06 20:17:18,729 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 44.12 | ExpVar: -0.63
2020-09-06 20:17:18,800 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 46.97 | ExpVar: -0.83
2020-09-06 20:17:18,866 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 42.96 | ExpVar: -0.57
2020-09-06 20:17:18,939 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 47.5 | ExpVar: -0.84
2020-09-06 20:17:19,009 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 44.12 | ExpVar: -0.63
2020-09-06 20:17:19,022 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 35.74 | ExpVar: -0.32
2020-09-06 20:17:19,035 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 35.61 | ExpVar: -0.42
2020-09-06 20:17:19,048 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 36.34 | ExpVar: -0.33
2020-09-06 20:17:19,061 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 36.34 | ExpVar: -0.47
2020-09-06 20:17:19,087 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 35.64 | ExpVar: -0.32
2020-09-06 20:17:19,119 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 35.44 | ExpVar: -0.41
2020-09-06 20:17:19,138 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 36.27 | ExpVar: -0.33
2020-09-06 20:17:19,158 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 36.32 | ExpVar: -0.47
2020-09-06 20:17:19,196 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 35.64 | ExpVar: -0.32
2020-09-06 20:17:19,254 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 35.44 | ExpVar: -0.41
2020-09-06 20:17:19,284 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 36.27 | ExpVar: -0.33
2020-09-06 20:17:19,328 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 36.32 | ExpVar: -0.47
2020-09-06 20:17:19,393 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 35.64 | ExpVar: -0.32
2020-09-06 20:17:19,479 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 35.44 | ExpVar: -0.41
2020-09-06 20:17:19,550 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 36.27 | ExpVar: -0.33
2020-09-06 20:17:19,622 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 36.32 | ExpVar: -0.47
2020-09-06 20:17:19,639 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 35.8 | ExpVar: 0.05
2020-09-06 20:17:19,658 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 36.22 | ExpVar: -0.03
2020-09-06 20:17:19,676 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 38.6 | ExpVar: 0.05
