2020-09-06 20:17:27,609 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 41.21 | ExpVar: 0.42
2020-09-06 20:17:27,623 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 41.96 | ExpVar: 0.39
2020-09-06 20:17:27,636 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 40.99 | ExpVar: 0.42
2020-09-06 20:17:27,653 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 42.21 | ExpVar: 0.39
2020-09-06 20:17:27,678 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 41.22 | ExpVar: 0.42
2020-09-06 20:17:28,007 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 41.93 | ExpVar: 0.39
2020-09-06 20:17:28,937 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 40.99 | ExpVar: 0.42
2020-09-06 20:17:30,230 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 42.21 | ExpVar: 0.39
2020-09-06 20:17:31,683 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 41.22 | ExpVar: 0.42
2020-09-06 20:17:32,483 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 41.93 | ExpVar: 0.39
2020-09-06 20:17:33,062 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 40.99 | ExpVar: 0.42
2020-09-06 20:17:33,603 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 42.21 | ExpVar: 0.39
2020-09-06 20:17:34,519 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 41.22 | ExpVar: 0.42
2020-09-06 20:17:35,408 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 41.93 | ExpVar: 0.39
2020-09-06 20:17:35,845 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 40.99 | ExpVar: 0.42
2020-09-06 20:17:35,926 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 42.21 | ExpVar: 0.39
2020-09-06 20:17:35,938 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 42.57 | ExpVar: 0.41
2020-09-06 20:17:35,955 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 43.38 | ExpVar: 0.37
2020-09-06 20:17:35,972 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 42.81 | ExpVar: 0.4
2020-09-06 20:17:35,983 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 43.85 | ExpVar: 0.36
2020-09-06 20:17:36,011 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 42.58 | ExpVar: 0.41
2020-09-06 20:17:36,040 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 43.38 | ExpVar: 0.37
