2020-09-06 20:15:39,991 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 35.22 | ExpVar: 0.29
2020-09-06 20:15:40,000 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 39.05 | ExpVar: 0.16
2020-09-06 20:15:40,009 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 36.15 | ExpVar: 0.28
2020-09-06 20:15:40,019 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 35.74 | ExpVar: 0.23
2020-09-06 20:15:40,038 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 34.89 | ExpVar: 0.26
2020-09-06 20:15:40,059 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 38.99 | ExpVar: 0.13
2020-09-06 20:15:40,076 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 35.48 | ExpVar: 0.29
2020-09-06 20:15:40,097 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 35.68 | ExpVar: 0.2
2020-09-06 20:15:40,133 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 34.85 | ExpVar: 0.26
2020-09-06 20:15:40,186 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 38.94 | ExpVar: 0.13
2020-09-06 20:15:40,226 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 35.46 | ExpVar: 0.29
2020-09-06 20:15:40,262 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 35.7 | ExpVar: 0.2
2020-09-06 20:15:40,325 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 34.85 | ExpVar: 0.26
2020-09-06 20:15:40,426 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 38.94 | ExpVar: 0.13
2020-09-06 20:15:40,489 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 35.46 | ExpVar: 0.29
2020-09-06 20:15:40,550 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 35.7 | ExpVar: 0.2
2020-09-06 20:15:40,563 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 33.13 | ExpVar: 0.39
2020-09-06 20:15:40,572 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 33.62 | ExpVar: 0.31
2020-09-06 20:15:40,582 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 34.6 | ExpVar: 0.36
2020-09-06 20:15:40,591 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 33.78 | ExpVar: 0.3
2020-09-06 20:15:40,612 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 33.2 | ExpVar: 0.39
2020-09-06 20:15:40,635 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 33.79 | ExpVar: 0.31
2020-09-06 20:15:40,657 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 34.58 | ExpVar: 0.36
2020-09-06 20:15:40,679 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 33.77 | ExpVar: 0.31
2020-09-06 20:15:40,717 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 33.19 | ExpVar: 0.39
2020-09-06 20:15:40,757 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 33.79 | ExpVar: 0.31
2020-09-06 20:15:40,797 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 34.58 | ExpVar: 0.36
2020-09-06 20:15:40,837 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 33.77 | ExpVar: 0.31
2020-09-06 20:15:40,934 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 33.19 | ExpVar: 0.39
2020-09-06 20:15:41,016 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 33.79 | ExpVar: 0.31
2020-09-06 20:15:41,081 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 34.58 | ExpVar: 0.36
2020-09-06 20:15:41,156 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 33.77 | ExpVar: 0.31
2020-09-06 20:15:41,171 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 46.07 | ExpVar: -0.08
2020-09-06 20:15:41,188 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 36.52 | ExpVar: 0.3
2020-09-06 20:15:41,203 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 46.73 | ExpVar: -0.01
2020-09-06 20:15:41,220 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 35.43 | ExpVar: 0.31
2020-09-06 20:15:41,247 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 46.07 | ExpVar: -0.08
2020-09-06 20:15:41,269 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 36.51 | ExpVar: 0.3
2020-09-06 20:15:41,300 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 46.73 | ExpVar: -0.01
2020-09-06 20:15:41,334 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 35.42 | ExpVar: 0.31
2020-09-06 20:15:41,374 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 46.07 | ExpVar: -0.08
2020-09-06 20:15:41,411 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 36.51 | ExpVar: 0.3
2020-09-06 20:15:41,453 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 46.73 | ExpVar: -0.01
2020-09-06 20:15:41,485 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 35.42 | ExpVar: 0.31
2020-09-06 20:15:41,552 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 46.07 | ExpVar: -0.08
2020-09-06 20:15:41,623 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 36.51 | ExpVar: 0.3
2020-09-06 20:15:41,677 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 46.73 | ExpVar: -0.01
2020-09-06 20:15:41,747 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 35.42 | ExpVar: 0.31
2020-09-06 20:15:41,757 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 49.02 | ExpVar: 0.07
2020-09-06 20:15:41,765 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 51.62 | ExpVar: -0.01
2020-09-06 20:15:41,772 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 50.49 | ExpVar: 0.09
2020-09-06 20:15:41,781 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 44.16 | ExpVar: 0.22
